1,2,3,9,11,5,6,0.0,10,0.1,17,0.5,16,22,13,0.4,19,7,21,0.7,0.3,8,0.8,20,0.6,0.2,23,12,0.9,0.10,15,4,18
Sox9,Robo1,Lamb1,Bhlhe22,Draxin,Grik3,Gabbr1,Ascl2,Kcnip3,Stmn2,Nfia,Gria2,Apoe,Sox9,Prkca,Atp1a3,Zfp609,Grin1,Robo2,Hcn1,Plcg1,Nsf,Sema5a,Aqp4,Gria2,Neurod2,Sox11,Atp1a2,Nfix,Stmn1,Shank2,Limk1,Itpr2
Apoe,Slit3,Mpzl1,Gria1,Pou3f2,Gng2,Ptprz1,Crmp1,Chd7,Sptan1,Gria2,Grik2,Grk2,Syne2,Rab3a,Ubc,Nfix,Epb41l1,Nfib,Calm1,Epb41l3,Frrs1l,Flna,Fzd3,Tead1,Fxyd6,Chd2,Apoe,Gabra4,Ptpn11,Nfatc3,Map2,Acsl1
Mfge8,Prkca,Ubc,Neo1,Sox11,Lhx6,Gnao1,Sst,Nlgn3,Rab3a,Srgap3,Stxbp1,C1qa,Foxg1,Grin1,Nectin3,Plxna4,Fezf2,Cdh4,Kcnd2,Vldlr,Gabra5,Plxna4,Srgap3,Pou3f3,Sema4c,Slc6a11,Nfasc,Ddx5,Sema3f,Rnd3,Nhlh2,Bmp7
Pou3f3,Nectin3,Pecam1,Nfix,Lmnb1,Bin1,Glul,Cycs,C1ql1,Frrs1l,Bin1,Bin1,Gfap,Grik2,Robo1,Atp6v0a1,Nlgn2,Epha7,Kcnh7,Unc13a,Cplx3,Gria2,Cdh2,Rgs3,Fzd3,Lamb1,Ccnd2,Atp6v0c,Foxg1,Cd6,Junb,Lhx2,Hdac4
Gabbr1,Nrp1,Cd34,Draxin,Tead1,Ptprm,Mfge8,Prkcb,Ankrd11,Slc17a7,Plcb1,Dnm1,Tmem119,Nfia,Bin1,Gabra5,Sema6d,Calm1,Cd274,Grin1,Tuba1c,Ntrk3,Nfix,Cadm1,Igf1r,Gng2,Chd6,Gng4,Robo2,Bin1,Cntn2,Neo1,Sall3
Atp1b2,Grin1,Slc38a2,Chd7,Sox1,Cadm1,Pou3f3,Rab3a,Nxph1,Nrp1,Atp1a1,Nr4a2,Gnai2,Slc1a2,Stmn2,Cadm1,Draxin,Atp6v0a1,Clstn2,Srgap1,Stap1,Grin2a,Draxin,Pax6,Plcb1,Sox4,Pou3f3,Gnb2,Mapk8ip3,Pax2,Gsk3b,Mdga1,Set
Sox2,Bin1,Itgb1,Sema6d,Nfia,Stx1b,Apoe,Gng3,Grik3,Calm1,Stx1b,Nrcam,Itgam,Sox4,Neurod2,Bin1,Mapk8ip3,Gria2,Fabp7,Cadm1,Hmgn2,Stxbp1,Asxl3,Msi2,Stmn1,Nfib,Cnr1,Gabra4,Ccdc88a,Pomc,Prkcz,Igfbpl1,Hes5
Pax6,Stxbp1,Ptprb,Sox4,Zbtb20,Pak3,Sox2,Slc6a3,Vcan,Gnai1,Plxna2,Cadm1,P2ry13,Gria2,Nsf,Grik2,Ptprs,Nrcam,Dync1i1,Crmp1,Gng8,Cntn1,Lrp8,Nfia,Sox4,Sema3c,Grm3,Rgs3,Fxyd6,Lmna,Pak6,Nfasc,Plaa
Hes5,Grin2b,Cobll1,Cdh2,Sox2,Cacnb4,Pax6,Tuba1a,Fabp7,Syt1,Syn1,Kcnd2,Efhd2,Zmiz1,Srgap3,Tubb3,Astn1,Pak3,Chd7,Ubc,Pvalb,C1ql3,Chd6,Ubc,Elavl4,Atp6v0c,Prox1,Mog,Kcnq2,Grm5,Fbxo28,Arhgef7,Erbb4
Slc1a3,Trpc4,Sema6d,Igfbpl1,Sox4,Epb41l1,Nfib,Gal,Sox2,Syp,March6,Sptan1,Ptprc,Nlgn2,Frrs1l,Stmn2,Ptk2,Tubb3,Fat3,Frrs1l,Atp6v1f,Cacna2d1,Cacna1a,S100b,Slc17a6,Ncam1,Slc1a2,Mag,March6,Ccna2,Tanc1,Gnai3,Slitrk5
Kcnip3,Epha4,Ccdc141,Stxbp1,Vcan,Syt1,Hes5,Cd8b1,Bmp7,Syn1,Limk1,Neurod2,Gpr183,Grm3,Cadm1,Sptan1,Ankrd11,Grin2b,Cacna2d2,Gnai1,Nrn1,Fam163b,Ddx3x,Flna,Apcdd1,Mapk8ip3,Omg,Icam1,Pax6,Pdgfb,Kcnj3,Mex3a,Gnb2
Ccnd2,Neurod2,Flna,Zfp609,Mex3a,Npy,Slc1a3,Tuba1b,Itpr2,Eef1a2,Prox1,Gnai1,C1qc,Axin2,Plxna4,Grin2a,Fabp7,Grik2,Kit,Ppp3cb,Gng13,Atp1a3,Ttc28,Sema6d,Fbxw11,Cacnb4,Nfia,Trak2,Bmpr2,Atp6v1d,Tiam1,Syne2,Fbxo45
Tnfrsf19,Gnai1,Arhgef12,Lrp8,Fzd3,Rab3a,Slc6a11,Cd80,Gria2,Robo1,Slitrk1,Srgap3,Ptgs1,Fabp7,Nrp1,Gabbr2,Bhlhe22,Gria1,Lhx5,Srgap2,Slitrk6,Stx1b,Nrp1,Ptprm,Mex3a,Kcnq3,Sox2,Cldn3,Lrp8,Kctd7,Tgfb2,Slc38a1,Mdh2
Nfia,Cadm1,Gnas,Ddx5,Insm1,Ncam1,Ccnd2,Shh,Pou3f3,Grin1,Cacna1b,Neurod6,Atp1a2,Nfix,Camk2b,Gap43,Clu,Sox4,Camk2a,Pak3,Epha3,Bin1,Chd7,Ablim1,Mdga1,Cntn2,Nfix,Fxyd1,Atp6v0e2,Epha8,Pecam1,Lrrc4b,Kcna2
Ccdc80,Stmn2,Itga4,Sema5a,Dlx2,Srgap1,Nfia,Pak7,Kcnd2,Srgap3,Neo1,Foxg1,Cd86,Aqp4,Gabra5,Dcc,Ccdc88a,Cadm1,Gng7,Nectin3,Mthfs,Slit3,Klhl24,Gnai2,Stx16,Lrp8,Shank1,Nkx2-1,Fezf2,Ntn1,Mast3,Gfap,Ntrk3
Aldoc,Kcnd2,Ctnnb1,Plxna2,Ccdc88a,Ubc,Ptprm,Sema6b,Chd6,Bin1,Srgap1,Gng4,Glul,Limk1,Sptan1,Ppp3cb,Neo1,Gap43,Diablo,Rasgrp1,Bmerb1,Zbtb20,Cacna2d1,Spop,Pax6,Tubb3,Mex3a,Agt,Stx5a,Snap29,L1cam,Stx16,Msi2
Id4,Grik2,Lrp8,Huwe1,Dlx1,Eef1a2,Tnfrsf19,Wnt5b,Sall3,Epha4,Ankrd11,Nsf,Aif1,Sfxn5,Srgap1,Gls,Ptprj,Cacna1b,Nfasc,Stxbp1,Prkacb,Sema5a,Ncam1,Gfap,Slc6a1,Map2k1,Chd7,Fn1,Rasa1,Cntn2,Itpr2,Nlgn2,Lamb1
Sfxn5,Ppp3cb,Gfap,Epha7,Cenpe,Trpc4,Kcnip3,Tenm1,Tet2,Sema7a,Foxg1,Plxna4,Tgfbr1,Htra1,Epha7,Stx1b,Sox9,Dnm1,Adcy1,Sema3e,Disc1,Stxbp6,Fubp1,Ngef,Scrib,Ttc28,Sall3,Depdc5,Wdr47,Slc35f1,Fbxo31,Unc13a,Axin2
Camk2a,Sptan1,Nes,Ncam1,Igfbpl1,Grin1,Sfxn5,Atp6v1f,Ntn1,Epb41l1,Tead1,Crmp1,Camk2a,Sox2,Gabbr2,Cacna1b,Grm3,Trpc5,Stxbp1,Epb41l1,Ndel1,Adcy1,Dcc,Lrp8,Dlg3,Pard6a,Mpzl1,Lnpk,Fubp1,Gng2,Fgf12,Ptpn11,Parp1
