1,2,3,4,5,6,7,8,9,10,11,12,13,14,0.0,0.1,15,16,17,0.2,18,0.3,19,20,21,0.4,22,0.5,0.6,0.7,0.8,23,0.9,0.10
Grm3,Nr4a3,Mpzl1,Nfix,Ptprm,Grm3,Slitrk1,Plxna4,Ptprs,Sdc3,Syne2,Olig1,Camk2b,Pou3f3,Glycam1,Gabra5,Lhx1,Apoe,Nrp1,Hcn1,Atp1a1,Pard3,Fabp7,Id4,Msi2,Grin2a,Sox9,Stxbp1,Chd7,Trpc4,Plxna2,Slc6a11,Neo1,Vtcn1
Slc6a11,Stxbp1,Igf1r,Igfbpl1,Grik3,Slc6a11,Atp1a3,Cplx2,Grik2,Erbb4,Ptprs,Rhob,Slc17a7,Gli3,Cd6,Grin2a,Robo1,P2ry13,Gnai1,Nfib,Sox9,Slc6a2,Grik2,Sox2,Kit,Neurod6,Atp1a2,Dnm1,Lrp8,Kcnd2,Sema6d,Htra1,Foxg1,Grm5
Ptprz1,Epha7,Lamb1,Sox4,Lhx6,Atp1b2,Mpped1,Zbtb20,Sema6d,Ptprz1,Sox11,Sema4d,Stxbp1,Nfix,Cldn7,Syp,Tbr1,Ptprj,Prox1,Gabra2,Idh2,Tigit,Gria1,Fzd3,Rgs4,Stxbp1,Grik2,Kcnd2,Sox4,Grin1,Grik2,Sox2,Neurod6,Gabra3
Atp1b2,Rasgrp1,Col3a1,Neurod6,Cadm1,Sox9,Foxg1,Adcy1,Neo1,Kcnip3,Sox1,Olig2,Eef1a2,Cdh2,Cd8b1,Ppp3cb,Cldn5,Grk2,Foxg1,Satb2,Ptprm,Kcnt2,Sema6d,Sema6d,Diablo,Crmp1,Prox1,Ubc,Pou3f3,Gnai1,Nrp2,Ccdc80,Celf2,Snap29
Clu,Slit3,Cd34,Mpped1,Slc32a1,Pou3f3,Bhlhe22,Prox1,Stxbp1,Itpr2,Pou3f2,Jam3,Frrs1l,Rgma,Gnat3,Grin1,Cd86,Itgam,Slc6a11,Cd24a,Lef1,Chat,Neo1,Rgs4,Lhx5,Ubc,Pou3f3,Gnai1,Pax6,Ppp3cb,Nectin1,Grm3,Pou3f3,Tnf
Mfge8,Epha4,Trim25,Dcc,Cacnb4,Gnao1,Sox11,Atp1a3,Bhlhe22,C1ql1,Lmnb1,Cers2,Syt1,Axin2,Hoxa9,Syt1,Itgb2l,Bin1,Stmn2,Epha4,Gnas,Cldn7,Foxg1,Zbtb20,Srgap3,Gabra2,Ptprz1,Grin1,Neo1,Stxbp1,Stxbp1,Ptprz1,Mex3a,Cd28
Slc1a3,Ppp3cb,Gnas,Neurod2,Syt1,Camk2a,Plxna2,Dlgap1,Chd7,Nlgn3,Sox2,Lpar1,Epha6,Mki67,Cdh15,Rab3a,Alg13,Vsir,Hcn1,Chl1,Kit,Cldn16,Sema5a,Apoe,Nfasc,Stmn2,Slc1a3,Nrcam,Nfix,Rasgrp1,Nrp1,Id4,Cd24a,Ccr2
Id4,Frrs1l,Ubc,Nfib,Stmn2,Fabp7,Mex3a,Cntnap1,Igfbpl1,Grik3,Sox4,Efnb3,Syn1,Boc,Slc6a2,Rasgrp1,Lockd,C1qc,Pax6,Sox4,Msi2,Gnat3,Nrp2,S100b,Chd7,Cadm1,Sox11,Cadm1,Foxg1,Neurod2,Clstn2,Clu,Satb2,Gng8
Pou3f3,Trpc4,Ptprb,Foxg1,Gng2,Clu,Nfix,Calm1,Sox4,Sox2,Nfia,Mast3,Rasgrp1,Lmnb1,Evx1,Syn1,Cdh4,Mrc1,Crmp1,Epha3,Mest,Kcng4,Slc6a11,Ablim1,Ccnd2,Gabra5,Gfap,Gabra5,Lhx2,Nectin3,Chd7,Pou3f3,Lhx2,Ephb2
Aldoc,Nrp1,Axin2,Sema4g,Epb41l1,Aldoc,Dync1i1,Epha4,Nfix,Atp1a2,Tead1,Rgs3,Camk2a,Nes,Itgb7,Slc17a7,Homer2,Ptgs1,Limk1,Stmn1,Foxj1,Cstb,Plxna2,Msi2,Nfib,Hcn1,Pax6,Neurod2,Mex3a,Srgap1,Cdh2,Meis2,Gria1,Il33
Ntsr2,Grin2b,Pdgfrb,Gria2,Sox1,Mfge8,Nfasc,Tiam1,Sema5a,Mbp,Dlx1,Sox2,Prickle2,Ctnnb1,Pdcd1lg2,Snhg11,Llgl1,Glul,Nfia,Casp3,Igf1r,Cdh15,Plxna4,Ngef,Kcnh7,Dnm1,Htra1,Crmp1,Stmn1,Cntn4,Flna,Vim,Cadm1,Stxbp1
Camk2a,Ubc,Cxcl12,Syne2,Gad2,Sfxn5,Grik3,Fam163b,Plxna2,Ankrd11,Dlx2,Erbb4,Unc13a,Tnfrsf19,Chat,Eef1a2,Pax2,Gfap,Plcb1,Kcnq3,Chd6,Icam2,Nfix,Flna,Lhx1,Gng2,Aqp4,Ppp3cb,Nr2f1,Frrs1l,Syt9,Chd7,Nfia,Pnoc
Ubc,Crmp1,Cobll1,Sema7a,Cacna1b,Ptprz1,Stmn2,Epb41l1,Lrp8,Gfap,Egfr,Glul,Epha7,Igf1r,Tnf,Crmp1,Adcy3,Efhd2,Ptprs,Ptprs,Huwe1,Tuba1c,Asxl3,Rgs3,Fat3,Gnai1,Mfge8,Gabra1,Btg1,Sema3e,Epha7,Atp1b2,Gabra2,Tigit
Sox2,Nectin3,Flna,Cadm3,Grin1,Slc1a3,Cnr1,Frrs1l,Draxin,Mpzl1,Zbtb20,Omg,Neurod6,Huwe1,Kcnt2,Sptan1,Syt2,Gnai2,Negr1,Sema3c,Pdgfra,Cacna1f,Ptprs,Gnai2,Cxcl12,Epha5,Ptprs,Stmn2,Gria2,Grin2b,Rbx1,Pax6,Fbxo45,Pik3cb
Sfxn5,Gabra5,Glul,Unc13a,Ncam1,Ntsr2,Nrcam,Stxbp6,Eomes,Nxph1,Cenpe,S100b,Rab3a,Htra1,Atp6v1b1,Camk2b,Epha3,Rhob,Astn1,Cadm1,Cntn1,Cd4,Stmn1,Cadm1,Ptprs,Gap43,Sema6d,Nr4a2,Unc5d,Gabra5,Asxl3,Ntsr2,Ptprs,Cd2
Pax6,Nsf,Ccdc141,Crmp1,Sox2,Id4,Dpysl2,C1ql3,Cdh2,Ptprj,Ccdc88a,Ptpn11,Neurod2,Gnao1,Gbx2,Stx1b,Mfng,Itgb2,Stxbp1,Pou3f3,Axin2,Cdh1,Ptprz1,Trp73,Vcan,Epha3,Cdh2,Nectin3,Slc17a6,Snhg11,Syt2,Msi2,Hcn1,Camk4
Mbp,Neurod2,Itgb1,Fgfr1,Trpc4,Sox2,Fezf2,Camk2a,Nrp1,Plp1,Sp8,Unc5b,Cplx2,Idh2,Best1,Prkcg,Wnt5b,Tgfbr1,Neo1,Celf2,Six3,Itgb7,Clstn2,Gfap,Cd274,Neo1,Vcan,Rasgrp1,Pou3f2,Gap43,Rnf2,Nfia,Ccdc88a,Pomc
Hes5,Hcn1,Ctnnb1,Sema6c,Slc6a1,Cplx2,Asxl3,Neurod2,Nrp2,Fabp7,Btg1,Pak1,Calm1,Fzd3,Pvalb,Gnai1,Pard6b,Srgap2,Syt9,Lamb1,Smo,Pdcd1lg2,Sox9,Ptprm,Slc2a13,Tuba1a,Apoe,Srgap1,Gabra2,Pak3,Draxin,Ubc,Negr1,Foxd3
Msi2,Calm1,Pdgfra,Nlgn2,Kcnc2,Gabbr1,Nr4a2,Stxbp1,Asxl3,Tcf7l2,Sox9,Acsl1,Gabra5,Nfia,Cldn6,Cplx2,P2ry1,Ptprc,Cd24a,Cplx3,Rgs3,Cd226,Gabra2,Slc38a3,Clstn2,Dcx,Msi2,Epha5,Sema3c,Nrp1,Sema3e,Sfxn5,Cdh2,Gng11
Aldh1l1,Robo1,Slc38a3,Astn1,Cnr1,Pax6,Cacna1b,Camkk1,Foxg1,S100b,Sall1,Trak2,Cacna1a,Sall1,Icam2,Mapk8ip3,En1,Atp1a2,Gabra2,Camk4,Ccdc141,Gpr151,Nectin1,Gsn,Dync1i1,Gabrb3,Ccnd2,Snhg11,Cd24a,Crmp1,Sox4,Mfge8,Chl1,Lmna
Ccdc80,Stmn2,Arhgef12,Bhlhe22,Rab3a,Fgfr3,Tet2,Eef1a2,Limk1,Gria2,Sall3,Grm3,Cntnap1,Smo,Vip,Stmn2,Nr2e1,Itga9,Camk4,Lrig2,Apoe,Glycam1,Slc1a3,Slc25a18,Arhgap32,Celf2,Foxg1,Slitrk1,Dcc,Gng3,Ccr2,Aldh1l1,Sema3c,Rnd1
Egfr,Gnai1,Bmp7,Lrp8,Pak3,Aldh1l1,Stxbp1,Tanc1,Nectin1,Jam2,Vcan,Ubc,Gria2,Sox2,Cacna1f,Epha4,Kcnj3,Plcg2,Gabbr2,Atp6v1f,Lrp6,Gngt1,Ryk,Srgap3,Slc17a6,Cdc42,Atp1b2,Neurod6,Casp3,Epha7,Chrna2,Cdh2,Stmn1,Id3
Sall3,Kcnd2,Nes,Nr4a3,Srgap1,Gng7,Itpr1,Ntrk3,Dcx,Omg,Id4,Cdk19,Grin2b,Gnai2,Gabrr2,Dlgap1,Nr4a1,Ubc,Ppp3cb,Rbp1,Chd2,Rbp1,Negr1,Sparcl1,Draxin,L1cam,Egfr,Bcl11b,Cdk4,Stx1b,Ptprs,Pou3f2,Gabra3,Epha3
Gabbr1,Sptan1,Shank3,Fezf2,Gabbr1,Msi2,Cntn2,Unc13a,Stmn1,Srgap1,Msi2,Cntn2,Epha4,Sema5b,Pak7,Cntnap1,Chrna1,Mbp,Igfbpl1,Chat,Cux2,Gng8,Slc1a2,Nfia,Slitrk5,Lamb1,Hes5,Robo1,Tead1,Satb2,Grik3,Zbtb20,Srgap1,Rgs10
Fgfr3,Bin1,Sema7a,Srgap3,Eef1a2,Shank1,Sdc3,Grik2,Tead1,Slc1a2,Stmn1,Gabbr1,Bin1,Glg1,Stx19,Gabbr2,Pla2g4d,Camk2a,Epha3,Ccr2,Unc13b,Cd6,Pax6,Mbp,Cobll1,Cd24a,Gnao1,Gap43,Epha3,Chl1,Ncam2,Nfib,Lrig2,Cldn14
Kcnip3,Zbtb20,Itpr3,Robo1,Crmp1,Cxcl14,Nlgn2,Gabbr2,Lamb1,Cdh20,Cdh2,Gnai1,Mapk8ip3,Cenpf,Slc1a7,Ppp3ca,Slc1a6,Cd86,Neurod2,Kcnt2,Plxnb1,Rnf7,Dcx,Sox1,Stxbp1,Clstn2,Sox2,Foxg1,Sema3a,Zbtb20,Dixdc1,Slc1a3,Gng5,Ndel1
Slc4a4,Rab3a,Rhob,Mdga1,Tubb3,Ngef,Lrrc4b,Adcy2,Flna,Kcnd2,Ptprz1,Vamp3,Dlgap1,Srgap3,Gdf7,Gabbr1,Gnb5,Sparcl1,Npy,Cd6,Flna,Sdc1,Syt9,Spop,Ntng2,Neurod2,Epha4,Rras2,Cdh2,Rab3a,Sema3c,Aldoc,Rnd1,Wwp1
Pou3f2,Grik2,Rgs3,Lrrc4b,Gabra1,Ubc,March6,Kcnd2,Ttc28,Ntn1,Insm1,Dpysl2,Srgap3,Chd6,Pla2g4d,Camk2a,Ntn3,Slc1a2,Cadm1,Cldn7,Folr1,Sema3c,Cdh2,Atp1b2,Cadm3,Cacna2d1,Etv4,Prkcg,Rbp1,Neurod6,Gabrb3,Hopx,Dock7,Gabra2
Gnao1,Prkcg,Bmpr2,Igf1r,Nrxn3,Mbp,Camk2b,Arhgef9,Mex3a,Slc1a1,Mfge8,Rtn4,Kcnq2,Epha4,Rnd1,Nrcam,Reln,Aif1,Atp6v1c1,Gnat3,Ptch1,Cd8b1,Stxbp1,Tead1,Nectin1,Gabbr2,Ccdc88a,Gng4,Chd2,Epha5,Hoxa9,Plxnb1,Ndel1,Cldn8
Jam2,Camk2b,Bmp5,Limk1,Dlx2,Nfia,Kit,Atp1a1,Crmp1,Itga9,Olig2,Gpr17,Cx3cl1,Adgrg1,Camk4,Ppp3r1,Cldn3,Trem2,Gap43,Lnpk,Ccnd2,Stap1,Hcn1,Ddx5,Unc5b,Sptan1,Top2a,Kit,Lnpk,Sparcl1,Grin1,Slc4a4,Homer1,Sema3f
Rgma,Syt1,Syne2,Zfp609,Tet2,Slc38a3,Nr4a3,Nrcam,Cacna1c,Grin3a,Sp9,Scrib,Cadm3,Scrib,Gpr151,Cplx1,Cldn8,Nfatc2,Gabrb3,Cdh15,Nipbl,Sema3a,Hes5,Cd24a,Plcb1,Sema3e,Id4,Sema3e,Efna4,Stmn2,Stap1,Ccdc88a,Crmp1,P2rx4
Ngef,Nrcam,Kit,Dpysl2,Bin1,Calm1,Ttc28,Syp,Dcc,Sall3,Fzd3,Ephb1,Stx1b,Ccnd2,Mboat7,Rapgef2,Sdc4,Ssh2,Elavl2,Negr1,Plxnb2,Slc1a7,Ncam1,Cobll1,Axin2,Foxg1,Dio2,Celf2,Gabrr2,Gabra2,Synpr,Sox1,Camk4,Calb1
Gjb6,Syn1,Pdgfb,Cacna1b,Robo1,Slc4a4,Pou3f3,Bin1,Neurod2,Chd6,Rgs3,Dlg1,Cplx1,Sox4,Rbp1,Atp6v1c1,Sdc1,Pik3cd,Cntnap2,Cd4,Lamb1,Gdf7,Sema3e,Plxnb1,Tbr1,Camk4,Cenpf,Gabrb2,Syt9,Tuba1a,Cntnap2,Egfr,Mapk8,Ssh3
Gng7,Cntn4,Sema6d,Ntrk3,Stx1b,Gjb6,Ptprs,Stx1b,Sema4f,Lrrc4c,Ccna2,Mapk3,Gabbr2,Mfge8,Gngt1,Fxyd7,Gzmb,Gpr183,Grin2a,Sema3a,Trp73,Evx1,Mfge8,Nfatc2,Adcy2,Tenm1,Gria2,Gabra2,Dcx,Stmn1,Cep44,Gnao1,Clstn2,Gabrg2
Slc25a18,Cntn1,Ephb4,Epha4,Dlx1,Ptprm,Srgap1,Trpc4,Clstn2,Pou3f3,Chd6,Csf1,Plxna4,Id4,Cd28,Bin1,Gabrr1,Tgfb1,Hspd1,Tubb3,Glg1,Rac2,Dab1,Sall1,Nfix,Gzmb,Slc6a1,Gria3,Pdcd1lg2,Trpc5,Myt1l,Hes5,Gnb3,Slc6a2
Kcna2,Cacna2d1,Slc38a2,Neurod1,Cplx1,Rgma,Plxna4,Cacna2d1,Tac2,Cd9,Mex3a,Spop,Epb41l1,Zfp609,Grin2d,Cx3cl1,Cdkn2c,Mast3,Btg1,Slc6a2,Cldn3,Atp6v1b1,Nrxn1,Smo,Emx2,Ssh3,Tead1,Bin1,Ndel1,Casp3,Bmerb1,Sall3,Robo1,Pax2
Sall1,Srgap1,Tcf7l2,Cacna2d1,Dlgap1,Sall3,Grik2,Ngef,Ccdc88a,Lrrc4b,Arx,Cacnb4,Mast3,Lrrc4b,Cd226,Ptprj,Stx17,Trim25,Atp1a3,Itgb7,Bcl2,Pla2g4d,Sox4,Plp1,Adcy1,Icam2,Neo1,Pak3,Gngt1,Gabra1,Dlx5,Fgfr3,Unc5d,Chat
Sox1,Pak3,Tanc1,Cdk5r1,Mpped1,Slc6a1,Dcx,Ppp3ca,Cd24a,Kank1,Nfix,Cdh20,Arhgef9,Nfib,Spi1,Trpc5,Socs7,Numb,Cdc42,Srgap1,Vim,Tnf,Limk1,Sfxn5,Rspo3,Lnpk,Sfxn5,L1cam,Kcnt2,Cadm1,Slitrk6,Ccnd2,Nkx2-1,Sema3e
Slc38a3,Plxna4,Slc6a13,Cdh2,Syn1,Hes5,Cacna2d1,Grin2b,Plcb1,Gsn,Mcm2,Sall1,Ppp3cb,Top2a,Ccr2,Prickle2,Alpl,Mfng,Casp3,Cdh1,Gsn,Itgav,Lrp8,Pax6,Sema6a,Gnb3,Btg1,Cntn6,Cd6,Cntn1,Hcn1,Slc25a18,Chat,Cldn16
Prex2,Cadm1,Igfbp2,Tbr1,Gabbr2,Grin2c,Sema7a,Nfib,Syt9,Bmp7,Rgs16,Cux2,Zbtb20,Flna,Cplx3,Rasd1,Slitrk5,Atp6v0b,Grin1,Kcnt1,Arhgef12,Cd2,Aldh1l1,Axin2,Nrn1,Casp3,Ddx3x,Gng2,Vamp4,Ncam2,Cd22,Idh2,Trpc1,Nr2f1
