names,scores,logfoldchanges,pvals,pvals_adj,group,analysis_type
Epha7,29.03993,2.0012167,2.062316078467043e-185,1.5229411040987395e-183,2,combined
Rasgrp1,28.263306,2.9346168,9.76846115052173e-176,6.698373360357758e-174,2,combined
Slit3,27.759975,4.4200997,1.3205687604863912e-169,7.923412562918348e-168,2,combined
Epha4,27.516651,1.3385336,1.1097873750704656e-166,5.941449909842763e-165,2,combined
Ppp3cb,27.516514,1.3862283,1.1140218580955179e-166,5.941449909842763e-165,2,combined
Frrs1l,26.822876,1.6167107,1.7483692592543552e-158,8.833865730969374e-157,2,combined
Trpc4,26.524435,2.427346,5.066196256888888e-155,2.431774203306666e-153,2,combined
Nrp1,26.20971,1.4691437,2.0596634448705222e-151,8.987622304889552e-150,2,combined
Grin2b,25.653296,2.1570888,3.884880739552225e-145,1.6215154391174501e-143,2,combined
Ubc,25.18032,0.6933982,6.581067844824774e-140,2.6324271379299092e-138,2,combined
Crmp1,24.503864,1.3772072,1.343517490705281e-132,5.159107164308279e-131,2,combined
Nectin3,24.040754,3.050598,1.043014599914236e-127,3.8511308304525633e-126,2,combined
Gabra5,23.738926,2.116436,1.4298764188957204e-124,5.084005044962561e-123,2,combined
Nsf,23.451406,1.3575606,1.2789400158374683e-121,4.3849371971570345e-120,2,combined
Neurod2,22.179817,1.4769874,5.379794041146712e-109,1.7215340931669478e-107,2,combined
Hcn1,21.596352,2.4553254,1.9437672811414774e-103,5.831301843424432e-102,2,combined
Calm1,20.99035,0.7497704,8.034940569845267e-98,2.3374372566822594e-96,2,combined
Robo1,20.873158,1.3138223,9.392163873863783e-97,2.576136376831209e-95,2,combined
Stmn2,20.143822,1.1797799,3.048736562593731e-90,7.910235405648599e-89,2,combined
Gnai1,20.004574,1.3498713,5.024645273161281e-89,1.2693840690091658e-87,2,combined
Kcnd2,19.888187,2.1090071,5.150288781143026e-88,1.2677633922813602e-86,2,combined
Sptan1,19.35537,0.7256574,1.8366945432059462e-83,4.198158955899306e-82,2,combined
Bin1,19.129812,0.73069507,1.4258488890818873e-81,3.110943030724118e-80,2,combined
Zbtb20,18.648865,0.70891225,1.2898898765732537e-77,2.6919440902398336e-76,2,combined
Rab3a,18.258604,1.2668464,1.7675254657556918e-74,3.610264781118009e-73,2,combined
Grik2,18.019167,0.87074596,1.378039224196662e-72,2.756078448393324e-71,2,combined
Prkcg,17.737177,2.8505826,2.1654428176411262e-70,4.076127656736238e-69,2,combined
Camk2b,17.255781,1.0770086,1.0124265061076331e-66,1.7998693441913477e-65,2,combined
Syt1,16.58041,1.4016366,9.656690448591083e-62,1.6554326483298998e-60,2,combined
Nrcam,14.780299,0.95946056,1.9629222082538295e-49,2.9911195554344067e-48,2,combined
Syn1,14.743076,1.1423277,3.4089492427656404e-49,5.113423864148461e-48,2,combined
