cluster,sample,cell_count,percentage,total_cells_in_sample
15,p0_R6_ctrl,703,15.815523059617547,4445
15,p7_R1_mut,7,0.13798541297062883,5073
15,p7_R2_ctrl,5,0.05357334190506804,9333
15,p30_R3_mut,1,0.024521824423737126,4078
15,p30_R4p_ctrl,6,0.07585335018963338,7910
16,e16_R1_mut,41,1.3580655846306724,3019
16,e16_R2_ctrl,34,0.9078771695594126,3745
16,p0_R5p_mut,69,0.9186526427905739,7511
16,p0_R6_ctrl,51,1.1473565804274466,4445
16,p7_R1_mut,110,2.1683422038241673,5073
16,p7_R2_ctrl,189,2.0250723240115716,9333
16,p30_R3_mut,152,3.727317312408043,4078
16,p30_R4p_ctrl,244,3.0847029077117574,7910
17,e16_R1_mut,32,1.0599536270288175,3019
17,e16_R2_ctrl,9,0.2403204272363151,3745
17,p0_R5p_mut,297,3.954200505924644,7511
17,p0_R6_ctrl,97,2.1822272215973,4445
17,p7_R1_mut,133,2.6217228464419478,5073
17,p7_R2_ctrl,175,1.8750669666773814,9333
17,p30_R3_mut,25,0.6130456105934281,4078
17,p30_R4p_ctrl,82,1.0366624525916561,7910
18,e16_R1_mut,181,5.995362702881749,3019
18,e16_R2_ctrl,136,3.6315086782376502,3745
18,p0_R5p_mut,220,2.9290374117960325,7511
18,p0_R6_ctrl,9,0.20247469066366702,4445
18,p7_R1_mut,3,0.05913660555884093,5073
18,p7_R2_ctrl,168,1.800064288010286,9333
18,p30_R3_mut,9,0.2206964198136341,4078
18,p30_R4p_ctrl,41,0.5183312262958281,7910
19,e16_R1_mut,20,0.6624710168930109,3019
19,e16_R2_ctrl,7,0.1869158878504673,3745
19,p0_R5p_mut,221,2.942351218213287,7511
19,p0_R6_ctrl,78,1.7547806524184477,4445
19,p7_R1_mut,93,1.8332347723240685,5073
19,p7_R2_ctrl,214,2.292939033536912,9333
19,p30_R3_mut,8,0.196174595389897,4078
19,p30_R4p_ctrl,73,0.9228824273072062,7910
2,e16_R1_mut,36,1.1924478304074198,3019
2,e16_R2_ctrl,25,0.6675567423230975,3745
2,p0_R5p_mut,686,9.133271202236719,7511
2,p0_R6_ctrl,209,4.701912260967379,4445
2,p7_R1_mut,686,13.522570471121625,5073
2,p7_R2_ctrl,1365,14.625522340083574,9333
2,p30_R3_mut,98,2.4031387935262383,4078
2,p30_R4p_ctrl,1045,13.211125158027812,7910
20,e16_R1_mut,3,0.09937065253395165,3019
20,e16_R2_ctrl,0,0.0,3745
20,p0_R5p_mut,51,0.6790041272799894,7511
20,p0_R6_ctrl,5,0.11248593925759282,4445
20,p7_R1_mut,55,1.0841711019120837,5073
20,p7_R2_ctrl,241,2.5822350798242795,9333
20,p30_R3_mut,180,4.413928396272683,4078
20,p30_R4p_ctrl,160,2.0227560050568902,7910
21,e16_R1_mut,82,2.716131169261345,3019
21,e16_R2_ctrl,133,3.551401869158879,3745
21,p0_R5p_mut,191,2.5429370256956463,7511
21,p0_R6_ctrl,50,1.124859392575928,4445
21,p7_R1_mut,68,1.3404297260003943,5073
21,p7_R2_ctrl,104,1.1143255116254152,9333
21,p30_R3_mut,15,0.3678273663560569,4078
21,p30_R4p_ctrl,42,0.5309734513274336,7910
22,e16_R1_mut,28,0.9274594236502154,3019
22,e16_R2_ctrl,7,0.1869158878504673,3745
22,p0_R5p_mut,146,1.943815736919185,7511
22,p0_R6_ctrl,59,1.327334083239595,4445
22,p7_R1_mut,108,2.1289178001182734,5073
22,p7_R2_ctrl,169,1.8107789563912995,9333
22,p30_R3_mut,30,0.7356547327121138,4078
22,p30_R4p_ctrl,68,0.8596713021491783,7910
23,e16_R1_mut,8,0.26498840675720436,3019
23,e16_R2_ctrl,6,0.16021361815754337,3745
23,p0_R5p_mut,43,0.5724936759419518,7511
23,p0_R6_ctrl,12,0.26996625421822273,4445
23,p7_R1_mut,23,0.45338064261778044,5073
23,p7_R2_ctrl,80,0.8571734704810886,9333
23,p30_R3_mut,14,0.34330554193231977,4078
23,p30_R4p_ctrl,33,0.41719342604298354,7910
3,e16_R1_mut,438,14.508115269956939,3019
3,e16_R2_ctrl,353,9.425901201602137,3745
3,p0_R5p_mut,534,7.109572626814006,7511
3,p0_R6_ctrl,328,7.379077615298088,4445
3,p7_R1_mut,435,8.574807806031934,5073
3,p7_R2_ctrl,755,8.089574627665273,9333
3,p30_R3_mut,428,10.49534085335949,4078
3,p30_R4p_ctrl,542,6.852085967130214,7910
4,e16_R1_mut,1132,37.49585955614442,3019
4,e16_R2_ctrl,1835,48.99866488651535,3745
4,p0_R5p_mut,0,0.0,7511
4,p0_R6_ctrl,7,0.15748031496062992,4445
4,p7_R1_mut,5,0.09856100926473486,5073
4,p7_R2_ctrl,7,0.07500267866709526,9333
4,p30_R3_mut,15,0.3678273663560569,4078
4,p30_R4p_ctrl,3,0.03792667509481669,7910
5,e16_R1_mut,131,4.3391851606492216,3019
5,e16_R2_ctrl,123,3.2843791722296394,3745
5,p0_R5p_mut,621,8.267873785115164,7511
5,p0_R6_ctrl,367,8.256467941507312,4445
5,p7_R1_mut,308,6.071358170707668,5073
5,p7_R2_ctrl,493,5.2823315118397085,9333
5,p30_R3_mut,171,4.193231976459049,4078
5,p30_R4p_ctrl,359,4.538558786346397,7910
6,e16_R1_mut,18,0.5962239152037099,3019
6,e16_R2_ctrl,10,0.26702269692923897,3745
6,p0_R5p_mut,188,2.502995606443882,7511
6,p0_R6_ctrl,159,3.5770528683914513,4445
6,p7_R1_mut,243,4.790065050266114,5073
6,p7_R2_ctrl,639,6.846673095467695,9333
6,p30_R3_mut,414,10.15203531142717,4078
6,p30_R4p_ctrl,332,4.197218710493047,7910
7,e16_R1_mut,90,2.9811195760185494,3019
7,e16_R2_ctrl,87,2.3230974632843795,3745
7,p0_R5p_mut,191,2.5429370256956463,7511
7,p0_R6_ctrl,1278,28.75140607424072,4445
7,p7_R1_mut,76,1.4981273408239701,5073
7,p7_R2_ctrl,131,1.4036215579127826,9333
7,p30_R3_mut,16,0.392349190779794,4078
7,p30_R4p_ctrl,33,0.41719342604298354,7910
8,e16_R1_mut,0,0.0,3019
8,e16_R2_ctrl,0,0.0,3745
8,p0_R5p_mut,4,0.053255225669018774,7511
8,p0_R6_ctrl,2,0.04499437570303712,4445
8,p7_R1_mut,60,1.1827321111768185,5073
8,p7_R2_ctrl,141,1.5107682417229187,9333
8,p30_R3_mut,476,11.672388425698871,4078
8,p30_R4p_ctrl,1188,15.018963337547408,7910
9,e16_R1_mut,28,0.9274594236502154,3019
9,e16_R2_ctrl,19,0.507343124165554,3745
9,p0_R5p_mut,462,6.150978564771668,7511
9,p0_R6_ctrl,155,3.487064116985377,4445
9,p7_R1_mut,373,7.352651291149222,5073
9,p7_R2_ctrl,709,7.596699882138648,9333
9,p30_R3_mut,8,0.196174595389897,4078
9,p30_R4p_ctrl,110,1.390644753476612,7910
0.0,e16_R1_mut,1,0.033123550844650546,3019
0.0,e16_R2_ctrl,0,0.0,3745
0.0,p0_R5p_mut,237,3.1553721208893624,7511
0.0,p0_R6_ctrl,48,1.079865016872891,4445
0.0,p7_R1_mut,232,4.573230829883698,5073
0.0,p7_R2_ctrl,259,2.775099110682524,9333
0.0,p30_R3_mut,5,0.12260912211868563,4078
0.0,p30_R4p_ctrl,199,2.515802781289507,7910
0.1,e16_R1_mut,3,0.09937065253395165,3019
0.1,e16_R2_ctrl,0,0.0,3745
0.1,p0_R5p_mut,54,0.7189455465317535,7511
0.1,p0_R6_ctrl,6,0.13498312710911137,4445
0.1,p7_R1_mut,148,2.9174058742361524,5073
0.1,p7_R2_ctrl,223,2.3893710489660345,9333
0.1,p30_R3_mut,52,1.2751348700343306,4078
0.1,p30_R4p_ctrl,442,5.587863463969659,7910
0.10,e16_R1_mut,3,0.09937065253395165,3019
0.10,e16_R2_ctrl,0,0.0,3745
0.10,p0_R5p_mut,41,0.5458660631074425,7511
0.10,p0_R6_ctrl,4,0.08998875140607424,4445
0.10,p7_R1_mut,8,0.1576976148235758,5073
0.10,p7_R2_ctrl,13,0.1392906889531769,9333
0.10,p30_R3_mut,0,0.0,4078
0.10,p30_R4p_ctrl,6,0.07585335018963338,7910
0.2,e16_R1_mut,14,0.4637297118251077,3019
0.2,e16_R2_ctrl,5,0.13351134846461948,3745
0.2,p0_R5p_mut,568,7.562242045000665,7511
0.2,p0_R6_ctrl,139,3.1271091113610794,4445
0.2,p7_R1_mut,38,0.7490636704119851,5073
0.2,p7_R2_ctrl,37,0.3964427300975035,9333
0.2,p30_R3_mut,0,0.0,4078
0.2,p30_R4p_ctrl,10,0.12642225031605564,7910
0.3,e16_R1_mut,6,0.1987413050679033,3019
0.3,e16_R2_ctrl,1,0.0267022696929239,3745
0.3,p0_R5p_mut,482,6.417254693116763,7511
0.3,p0_R6_ctrl,89,2.002249718785152,4445
0.3,p7_R1_mut,62,1.2221565148827125,5073
0.3,p7_R2_ctrl,59,0.6321654344798028,9333
0.3,p30_R3_mut,1,0.024521824423737126,4078
0.3,p30_R4p_ctrl,26,0.32869785082174463,7910
0.4,e16_R1_mut,1,0.033123550844650546,3019
0.4,e16_R2_ctrl,0,0.0,3745
0.4,p0_R5p_mut,364,4.846225535880708,7511
0.4,p0_R6_ctrl,17,0.38245219347581555,4445
0.4,p7_R1_mut,98,1.9317957815888034,5073
0.4,p7_R2_ctrl,99,1.0607521697203472,9333
0.4,p30_R3_mut,3,0.07356547327121138,4078
0.4,p30_R4p_ctrl,34,0.42983565107458915,7910
0.5,e16_R1_mut,1,0.033123550844650546,3019
0.5,e16_R2_ctrl,0,0.0,3745
0.5,p0_R5p_mut,213,2.8358407668752497,7511
0.5,p0_R6_ctrl,62,1.3948256467941507,4445
0.5,p7_R1_mut,126,2.4837374334713185,5073
0.5,p7_R2_ctrl,139,1.4893389049608914,9333
0.5,p30_R3_mut,0,0.0,4078
0.5,p30_R4p_ctrl,73,0.9228824273072062,7910
0.6,e16_R1_mut,14,0.4637297118251077,3019
0.6,e16_R2_ctrl,9,0.2403204272363151,3745
0.6,p0_R5p_mut,377,5.019305019305019,7511
0.6,p0_R6_ctrl,76,1.7097862767154106,4445
0.6,p7_R1_mut,46,0.9067612852355609,5073
0.6,p7_R2_ctrl,63,0.6750241080038573,9333
0.6,p30_R3_mut,1,0.024521824423737126,4078
0.6,p30_R4p_ctrl,8,0.1011378002528445,7910
0.7,e16_R1_mut,1,0.033123550844650546,3019
0.7,e16_R2_ctrl,0,0.0,3745
0.7,p0_R5p_mut,56,0.7455731593662628,7511
0.7,p0_R6_ctrl,17,0.38245219347581555,4445
0.7,p7_R1_mut,68,1.3404297260003943,5073
0.7,p7_R2_ctrl,111,1.1893281902925106,9333
0.7,p30_R3_mut,0,0.0,4078
0.7,p30_R4p_ctrl,36,0.4551201011378002,7910
0.8,e16_R1_mut,2,0.06624710168930109,3019
0.8,e16_R2_ctrl,0,0.0,3745
0.8,p0_R5p_mut,55,0.7322593529490081,7511
0.8,p0_R6_ctrl,6,0.13498312710911137,4445
0.8,p7_R1_mut,58,1.1433077074709246,5073
0.8,p7_R2_ctrl,95,1.0178934961962927,9333
0.8,p30_R3_mut,0,0.0,4078
0.8,p30_R4p_ctrl,23,0.29077117572692796,7910
0.9,e16_R1_mut,1,0.033123550844650546,3019
0.9,e16_R2_ctrl,3,0.08010680907877168,3745
0.9,p0_R5p_mut,88,1.1716149647184129,7511
0.9,p0_R6_ctrl,15,0.3374578177727784,4445
0.9,p7_R1_mut,11,0.21683422038241673,5073
0.9,p7_R2_ctrl,19,0.20357869923925856,9333
0.9,p30_R3_mut,1,0.024521824423737126,4078
0.9,p30_R4p_ctrl,1,0.012642225031605562,7910
