,Cluster_1,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_2,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_3,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_0.0,Cluster_0.1,Cluster_0.2,Cluster_0.3,Cluster_0.4,Cluster_0.5
Cluster_2,0.2864713609055412,0.20154950216795645,0.2866920979837614,0.17374837190314985,0.32559745288247166,0.1032849128797657,0.01946019104204016,0.5175089837597845,0.040022209956908354,0.4724227759759092,0.9999999999999998,0.1024389425013273,0.21305113733001768,0.29104123224650347,0.18789576956170134,0.11491120959280988,0.5269318750905722,0.2164523378161905,0.6012341779514322,0.28656892096882336,0.5243996299205707,0.7911345771304051,0.7080724856820415,0.6679329083946746,0.5410359478264873,0.4536820408347781,0.37861096749151624
Cluster_20,0.3357544778403936,0.12924472038046134,0.26778320984956117,0.07857699743861186,0.037619219568695815,0.05505628325759151,0.054429544595979956,0.12464876931647167,0.19575705111973965,0.14865547494201425,0.10243894250132732,0.9999999999999998,0.11748724894417169,0.13531592469355486,0.09284738379043324,0.11970788000202116,0.10959779863390844,0.22332479404664793,0.09183012423738342,0.048275706004715195,0.15824009822632643,0.110831192741839,0.17943722420526118,0.1956238676207487,0.18231369100255296,0.09944360347116808,0.053714196766839625
Cluster_21,0.2577906035898055,0.1761337175186297,0.25908849999563827,0.11215702079102673,0.11501707634067358,0.10895548199249618,0.0464628757189279,0.24271457008754643,0.06804408728216749,0.20548296502371052,0.21305113733001768,0.11748724894417167,1.0,0.2561768770031312,0.11077027302314152,0.18956262676784727,0.2831405867445381,0.20745457623273988,0.21490755194153519,0.11765808756196426,0.2761264642195276,0.2510177087858657,0.3408988896396876,0.2988408146006905,0.30158229759957433,0.15854887903139558,0.11589168893979251
Cluster_22,0.37744113803327123,0.20667931036012566,0.3604893370040966,0.12590755443662932,0.127956432889087,0.09555169608609825,0.04554349507032189,0.3164401813141618,0.07141082988812363,0.30055066755230914,0.29104123224650347,0.13531592469355486,0.2561768770031312,1.0,0.16968999940795046,0.15235792940176635,0.25733831434936383,0.2879365566407477,0.2672696264985584,0.12246694491748955,0.3907967825503503,0.3136147005748495,0.3836914102563827,0.40947169556587115,0.39869479454366763,0.24630357468651676,0.1584871072835995
Cluster_23,0.26556567031159933,0.15348526552632852,0.2433591564232156,0.07316101717728114,0.07101306470281604,0.05378605779034212,0.049840156246995386,0.18947116834835745,0.06941596951657693,0.20881528577798514,0.18789576956170134,0.09284738379043325,0.11077027302314153,0.16968999940795043,1.0,0.08886626415209627,0.15817325617793482,0.17612920884027533,0.1753180997034838,0.08576876324110212,0.2352447141624466,0.20114611879699193,0.246663852104809,0.2695314414803647,0.2698546287613434,0.17570338239706892,0.10484927915334492
Cluster_3,0.3330404569618835,0.21137503476296957,0.2929500042397336,0.14213140675812239,0.06467020544106968,0.073353536014106,0.19197354140831208,0.13481453949519426,0.20701166738082952,0.17500900906977848,0.11491120959280988,0.11970788000202118,0.18956262676784727,0.15235792940176635,0.08886626415209627,1.0,0.15172465213969466,0.22217364057288094,0.11825612464078614,0.05002543178937692,0.18026162366900447,0.15011163447754544,0.25793169939811605,0.19053390215109223,0.18508521267924974,0.08500001564827596,0.08680761352219005
Cluster_5,0.3587101403766979,0.28638451968512024,0.3259027457987835,0.23527004341729252,0.2816155883510474,0.15372365712122157,0.03096988047111367,0.42866048347627156,0.04371284458787282,0.37376705366900803,0.5269318750905722,0.10959779863390844,0.2831405867445381,0.25733831434936383,0.15817325617793482,0.15172465213969466,1.0,0.24702990170178435,0.47277747345667437,0.26369995984377703,0.4162420007898679,0.6428483839997097,0.7202838790740457,0.5266256588410275,0.46742511398397235,0.3340650905699399,0.2857193762726208
Cluster_6,0.5866764207911137,0.27830692861511475,0.4662116534310944,0.13243533862329224,0.09531348442041135,0.10022952900715187,0.08299530936246702,0.275768114291185,0.1271343261901087,0.30407833865204276,0.2164523378161905,0.22332479404664793,0.2074545762327399,0.2879365566407477,0.17612920884027536,0.22217364057288097,0.24702990170178435,1.0,0.21186876120635428,0.12554039056190086,0.3290262938710941,0.24163501214575597,0.3627520108037691,0.35543309769814957,0.36404514276990496,0.17639643230386254,0.14774953399602123
Cluster_7,0.29216485828466504,0.20656796369538794,0.2993744423092387,0.17379224198136134,0.2614064408360532,0.10372689041537639,0.01828524780922145,0.45430257166039695,0.029638934675709622,0.41181300115020153,0.6012341779514321,0.09183012423738342,0.21490755194153516,0.26726962649855845,0.17531809970348378,0.11825612464078612,0.47277747345667437,0.21186876120635428,1.0,0.24273689359447193,0.4972533049863217,0.6822119815777921,0.6566374815152671,0.6342084848587831,0.5244781175100369,0.436847572598667,0.3211338677230047
Cluster_8,0.16177891546843368,0.1319797222110396,0.13345739035121232,0.0902452996915588,0.13488185528912794,0.060890632913376194,0.000890155320595576,0.20331823537340085,0.11284402306762963,0.18306690650088916,0.28656892096882336,0.048275706004715195,0.11765808756196426,0.12246694491748955,0.08576876324110212,0.05002543178937691,0.2636999598437771,0.12554039056190086,0.24273689359447193,0.9999999999999998,0.23640643415533916,0.31453307432560107,0.3319401513688888,0.27592707598166005,0.2661594936296075,0.1638169899166353,0.1466484646495855
Cluster_9,0.4294538280070591,0.25926657240421347,0.4458501695518905,0.1981010287307794,0.22605727003350573,0.1335137729341042,0.0537040876605492,0.5275703287357631,0.08356053410603492,0.4697587406061927,0.5243996299205707,0.1582400982263264,0.2761264642195276,0.3907967825503503,0.23524471416244658,0.18026162366900447,0.4162420007898679,0.3290262938710941,0.4972533049863217,0.23640643415533913,1.0,0.5695403753278961,0.622666084828589,0.6880772744324167,0.6622705448540718,0.4010710775622217,0.2734536758340872
Cluster_0.0,0.32248866567051027,0.23716296615298962,0.31625530721967343,0.2119679439588843,0.35768705595361194,0.1351286441534808,0.0313660024603715,0.56046538124503,0.04281269488220737,0.5185233599977358,0.7911345771304051,0.11083119274183899,0.2510177087858657,0.3136147005748495,0.20114611879699193,0.15011163447754547,0.6428483839997096,0.24163501214575597,0.6822119815777921,0.31453307432560107,0.5695403753278961,1.0,0.8415184871209425,0.7629936934039592,0.6158157297114093,0.5017592005374969,0.43400529232761875
Cluster_0.1,0.5132757092982135,0.35634060692496855,0.47378065790864154,0.2730441259625033,0.33649546644772776,0.1845016823713598,0.09035888286755131,0.5770226972141091,0.10337417683925404,0.5398791870121262,0.7080724856820414,0.17943722420526115,0.3408988896396876,0.38369141025638265,0.246663852104809,0.25793169939811605,0.7202838790740457,0.3627520108037692,0.6566374815152671,0.3319401513688888,0.622666084828589,0.8415184871209423,0.9999999999999998,0.8204010014198994,0.6859083189297577,0.5002042490851731,0.39520039362879844
Cluster_0.2,0.49859692296441027,0.3083057933863693,0.4835128678323047,0.19326621854764156,0.25868256974880016,0.1560219246234138,0.05982579307590616,0.6039555434044531,0.09235496917121021,0.5605251675574864,0.6679329083946746,0.19562386762074874,0.29884081460069045,0.40947169556587115,0.2695314414803646,0.19053390215109223,0.5266256588410274,0.35543309769814957,0.6342084848587831,0.27592707598166,0.6880772744324167,0.7629936934039592,0.8204010014198992,1.0,0.7861240539541612,0.5596224415716756,0.3630156407811545
Cluster_0.3,0.5027506277709836,0.3246500617974187,0.5899082931668442,0.2093610147735889,0.2159270979677587,0.14940630061248433,0.07162437039312101,0.5427026988030772,0.09111992793635491,0.487621104856191,0.5410359478264872,0.18231369100255296,0.30158229759957433,0.39869479454366763,0.2698546287613435,0.18508521267924974,0.46742511398397235,0.36404514276990496,0.5244781175100369,0.2661594936296075,0.6622705448540717,0.6158157297114093,0.6859083189297577,0.7861240539541612,1.0,0.4483061951700443,0.291038867145526
Cluster_0.4,0.25664052035117985,0.1581899371348565,0.2565310320134791,0.10603994452927001,0.16540462557174088,0.09145183360583703,0.016397195938886104,0.37631012619401666,0.029956940298348535,0.33277817660600584,0.45368204083477803,0.09944360347116808,0.15854887903139558,0.24630357468651676,0.1757033823970689,0.08500001564827597,0.3340650905699398,0.17639643230386254,0.43684757259866697,0.16381698991663532,0.4010710775622217,0.5017592005374969,0.500204249085173,0.5596224415716757,0.4483061951700442,1.0,0.249025020512528
Cluster_0.5,0.18677971466079135,0.12571095922595543,0.16917461165239742,0.10483365318283602,0.16081755658642424,0.061263173938622,0.038955041869396,0.2692631044969569,0.022738889965448778,0.25614779747052446,0.37861096749151624,0.05371419676683963,0.1158916889397925,0.1584871072835995,0.10484927915334492,0.08680761352219005,0.2857193762726208,0.1477495339960212,0.32113386772300473,0.14664846464958547,0.2734536758340872,0.43400529232761875,0.39520039362879844,0.3630156407811545,0.291038867145526,0.24902502051252798,0.9999999999999999
