0.0,0.1,2,5,0.2,1,3,9,17,11,19,18,21,7,6,0.3,22,10,0.4,16,20,0.5,23,13,12,15,8
Hcn1,Etv1,Robo1,Sox2,Meis2,Mfge8,Mpzl1,Prox1,Nrp1,Sox2,Foxg1,Msi2,Chd7,Stxbp1,Pou3f3,Epha4,Idh2,C1ql1,Neurod6,C1qa,Msi2,Frrs1l,Lrp8,Cadm1,Mbp,Rras,Gria2
Stxbp1,Sec22b,Grin2a,Stxbp1,Nrp1,Sox2,Col3a1,Lrp8,Srgap3,Sox9,Nrp1,Igfbp2,Trp73,Fezf2,Gfap,Sox4,Stxbp1,Fabp7,Foxg1,P2ry12,Ccdc80,Foxg1,Vim,Dnm1,Lpar1,Bmpr1b,Plcb1
Dnm1,Cacng5,Dnm1,Nxph1,Neurod2,Msi2,Axin2,Nfix,Foxg1,Mfge8,Neurod6,Igf1r,Diablo,Grik3,Mfge8,Lrp8,Draxin,Ankrd11,Neo1,Sall1,Slc38a1,Grin2a,Srgap3,Neurod2,Tet2,Cx3cl1,Atp6v0a1
Epha4,Best1,Cadm1,Robo1,Sox4,Htra1,Lef1,Gria2,Ncam1,Lmnb1,Nlgn2,Chd2,Kit,Srgap1,Nfia,Nfix,Lrp8,Sdc3,Nfib,Mki67,Pou3f2,Neurod6,Fabp7,Nlgn2,Alpl,Nfe2l2,Plxna4
Cadm1,Prkcz,Hcn1,Ncam1,Nfia,Slc1a3,Igf1r,Gria1,Astn1,Egfr,Srgap3,Lef1,Srgap3,Gng2,Sox2,Pax6,Pou3f3,Pou3f3,Ptprs,Cd86,Ptprz1,Chl1,Fzd3,Nectin3,Stxbp6,Cdk19,Gng2
Sptan1,Fos,Epha4,Gabbr1,Nfix,Vim,Bmp7,Sema6d,Pou3f3,Grm3,Stxbp1,Apoe,Nfib,Nlgn2,Atp1a2,Sema6d,Neurod1,Egfr,Ccdc88a,Sparcl1,Ptprm,Stmn2,Nfix,Epha7,Ncam2,Ccdc88c,Nrcam
Crmp1,Calb1,Zbtb20,Gng2,Neo1,Ccnd2,Pecam1,Draxin,Neurod2,Syne2,Cadm1,Chd6,Cxcl12,Grin2a,Ccdc80,Flna,Lhx2,Kcnd2,Mapk8ip3,Itgam,Chd6,Gnai1,Pak3,Gnai1,Draxin,Nrn1,Stx1b
Gabra5,Shh,Foxg1,Dlx1,Kcnq3,Chd7,Kit,Eomes,Neurod1,Ccdc80,Slc6a11,Itpr1,Ptprs,Sox11,Sparcl1,Plxna4,Cenpf,Ctnnb1,Gria1,Cenpf,Gnao1,Tet2,Cdh2,Stmn2,Gnal,Fbxo8,Dnm1
Stmn2,Btrc,Crmp1,Stmn2,Neurod6,Cdh2,Cxcl12,Limk1,Plcb1,Ptprz1,March6,Bmp7,Ccnd2,Bin1,Vim,Tead1,Slc6a11,Etv5,Celf2,Chd7,Pax6,Robo1,Nlgn2,Trpc4,Calm1,Gosr1,Calm1
Calm1,Tigit,Sptan1,Tet2,Mex3a,Grm3,Ccdc141,Pax6,Atp6v0a1,Slc1a2,Neurod2,Pdgfra,Kcnh7,Stmn2,Htra1,Btg1,Srgap3,Nlgn2,Nfia,Atp1a2,Trp73,Srgap3,Sox9,Grin2a,Pdgfra,Gnao1,Evx1
Foxg1,Sema6a,Prkca,Epb41l1,Astn1,Gli3,Glul,Tead1,Sptan1,Sox1,Celf2,Idh2,Ubc,Robo1,Gnao1,Gria2,Chd6,Sparcl1,Astn1,P2ry13,Fzd3,Epha5,Ccdc80,Calm1,Ctnnb1,Sema6c,Ccdc88a
Prkca,Atp6v1f,Tubb3,Cacnb4,Nlgn2,Nfia,Gnai2,Igfbpl1,Cnr1,Vim,Slc1a2,Ptprm,Adcy2,Dync1i1,Id4,Zfp609,Igf1r,Kcnip3,Sox4,Chd2,Nfib,Sema4f,Mest,Bin1,Casp3,Gng4,Neo1
Slitrk1,Cdk5r2,Neo1,Grik3,Pax6,Sall1,Cd34,Sox4,Nfix,Cdh4,Sox9,Cntn1,Clstn2,Nfasc,Ptprj,Mex3a,Ptprz1,Sox2,Igf1r,Cx3cr1,Sox2,Hcn1,Mex3a,Srgap1,Gap43,Atp6v0e2,Nptx2
Stx1b,Nptx2,Stmn2,Ptprm,Lrp8,Sparcl1,Bmp5,Plcb1,Cacna2d1,Slc1a3,Astn1,Rgs3,Cobll1,Nfix,Cdh2,Fxyd6,Nipbl,Gpr17,Kcnq3,Ptprc,Gli3,Cadm1,Msi2,Nrcam,Fabp7,Satb2,C1ql3
Grin1,Gabrr1,Gabra5,Bin1,Stmn1,Nfib,Sema7a,Bin1,Igfbpl1,Nfia,Cacna2d1,Gnas,Cacna2d2,Epha4,Msi2,Foxg1,Msi2,Nlgn3,Gabbr2,Gnai2,Tead1,Zbtb20,Cdh4,Crmp1,Gnas,Prex2,Ptprs
Grin2b,P2rx4,Camk2b,Lhx6,Ncam1,Ptprj,Gnas,Stxbp1,Mex3a,Pou3f2,Huwe1,Cux2,Vcan,Plxna2,Axin2,Huwe1,Atp1a2,Map2,Epb41l1,C1qc,Ankrd11,Grin1,Slc1a2,Dab1,Nfasc,Chd7,Cldn3
Gnai1,Pou3f4,Srgap3,Epha7,Plcb1,Axin2,Cobll1,Plxna4,Neo1,Sall1,Fabp7,Huwe1,Nfasc,Calm1,Nfib,Chd6,Fabp7,Bmp7,Lhx2,Tmem119,Chd7,Epb41l1,Sox2,Grin1,Dock7,Creb1,Atp6v1d
Gabra2,Rock1,Stxbp1,Nlgn2,Satb2,Vcan,Pdgfrb,Flna,Draxin,Olig2,Zfp609,Lrp6,Dync1i1,Epb41l1,Cdh4,Cacna1a,Ccdc88a,Omg,Srgap1,Ptgs1,Jam2,Set,Gabbr2,Gng2,Bin1,Sall3,Epm2a
Nrcam,Vsx2,Grin2b,Ccdc88a,Plxna4,Hes5,Pdgfra,Foxg1,Nfia,Ccna2,Pou3f3,Atp1a1,Stxbp1,Stx1b,Slc1a3,Slc38a1,Chd2,Cdh4,Plcb1,Ccnd2,Jam3,Gng3,Sall1,Kit,Cux2,Syt9,Nrxn1
Cacna2d1,Ntng1,Bin1,Gad1,Zfp609,Ubc,Itgb1,Cdh2,Ccdc88a,Prox1,Ccdc80,Axin2,Lhx5,Ptk2,Igf1r,Meis2,Nfix,Top2a,Crmp1,Trim25,Atp1a1,Tuba1a,Idh2,Sptan1,Gabbr1,Ripk1,Rbfox3
