7,15,5,3,2,1,0.0,6,0.1,9,17,11,0.2,19,10,22,16,21,0.3,13,23,18,12,4,20,14,8
Nfix,Itpr2,Nlgn2,Pecam1,Ncam1,Zbtb20,Itgav,Gli3,Lrp8,Lrp8,Plcb1,Sox1,Gria3,Ccdc80,Map2,Ankrd11,Ptprc,Ubc,Nfia,Sox11,Ptprm,Casp9,Pla2g4b,Pou3f3,Pak2,Nlgn2,Negr1
Nrcam,Chd7,Crmp1,Pdgfrb,Stxbp1,Cdh4,Lhx1,Tnfrsf19,Cacna2d1,Igfbpl1,Camk2g,Sox9,Gria1,Slc1a2,Ubc,Cul1,Cd86,Plcb1,Ttc28,Srgap2,Ankrd11,Cd40,Sox10,Sema6c,Slc1a2,Jam2,Gnb4
Bin1,Slitrk5,Sox1,Cd34,Gria1,Sox2,Stx19,Ubc,Neo1,Ttc28,Gnai1,Lmnb1,Gabra1,Nectin1,Atp1a2,Sox9,Glul,Slitrk5,Nr2f1,Bin1,Grm3,Eomes,Cdk5,Mpped1,Gria1,Tgfb2,Stx17
Tet2,Id4,Stxbp1,Ccdc141,Nr4a2,Atp1b2,Fxyd7,Atp1b2,Robo2,Flna,Creb1,Atp1a2,Neurod6,Ephb2,Mki67,Pou3f3,Sparcl1,Srgap3,Elavl2,Ncam1,Pax6,Alg13,Huwe1,Pou3f2,Idh2,Sall1,Stx7
Mex3a,Kcnj3,Cadm1,Itgb1,Dpysl2,Slc1a3,Cacnb2,Cdh4,Sema4c,Nectin1,Grk3,Axin2,Slitrk5,Fbxw11,Ankrd11,Ptprs,Ccnd2,Kcnh7,Ppp3cb,Gabrb2,Zfp609,Ptgs1,Kctd7,Slc1a2,Syne2,Smo,Pdpk1
Dpysl2,Stx17,Kcnc2,Ccnd2,Ppp3cb,Sall3,Cldn6,Gnai2,Cux2,Cacna1a,Tgfb2,Rgma,Gnao1,Nlgn1,Draxin,March6,Efhd2,Dync1i1,Ppp3ca,Asxl3,Olig2,Slitrk3,Ppp3cc,Satb2,Arhgef2,Gabrb2,Grin3a
Nfasc,Vcan,Gad2,Glul,Trpc4,Gnai2,Kcng4,Meis2,Sema5a,Tbr1,Unc13a,Mfge8,Dpysl2,Gria1,Scrib,Zmiz1,Itgb1,Lhx5,Unc5a,Erbb4,Atp1b2,Sec22b,Pard6b,Sox11,Ryk,Fbxo38,Ablim1
Dync1i1,Dsp,Cacna1b,Kit,Neurod6,Chd7,Mdh1,Grm3,Kcnq3,Neo1,Itgb2l,Ccna2,Nectin3,Grin1,Gpr17,Tnfrsf19,Apcdd1,Nfix,Cntn2,Grin1,Fabp7,Lockd,Cd86,Gnao1,Fzd3,Srsf11,Creb1
Camk2b,Adcy3,Dlgap1,Bmp5,Gria2,Hes5,Rnf7,Ctnnb1,Nrn1,Mdga1,Slitrk5,Btg1,Cntn1,Sox9,Cul1,Ttc28,P2ry12,Vim,Btg1,Fzd3,Arhgap32,Efna2,Gjb6,Stxbp1,Slc38a1,Efhd2,Atp6v0b
Dnm1,Alpl,Syt1,Slc38a3,Nlgn2,Gli3,Fas,Sfxn5,Cd24a,Vim,Myt1l,Slc1a2,Dnajc5,Cd9,Meis2,Mex3a,Pdgfra,Clstn2,Dock7,Ccdc88a,Nfia,Mpz,Tafa2,Foxg1,Draxin,Fubp1,Atp6v0d1
