8,2,1,12,3,0.1,5,6,10,13,16,0.0,20,11,9,17,19,0.5,22,21,18,0.7,0.4,7,23,0.3,0.8,0.2,0.6,0.10,15,4
Adcy1,Zbtb20,Slc1a3,Lpar1,Gfap,Rab3a,Gnas,Gjb6,Nlgn3,Ppp3cb,Bin1,Alg13,Cadm1,Nlgn2,Flna,Calm1,Sema4c,Stxbp1,Cadm1,Stxbp1,Kcnh1,Calm1,Plxna2,Glg1,Gjb6,Mki67,Tead1,Plxnc1,Axin2,Sun2,Mki67,Huwe1
Tiam1,Ptprs,Grm3,Efnb3,Slc1a2,Slc17a7,Gabrb2,Gnao1,Sox2,Gabra5,Mbp,Spi1,Srgap3,Cdh2,Foxg1,Cadm1,Apoe,Slitrk1,Ccdc88a,Gng7,Lrp6,Gng3,Pten,Gnal,Slc1a3,Epha3,Cdc42,Gnb4,Foxg1,Ccdc25,Alpl,Zbtb20
Nrcam,Trpc4,Prex2,Pak1,Flna,Stx1b,Kcnc1,Slc1a3,Srgap1,Frrs1l,Chd7,Nkx2-1,Gnai2,Msi2,Sema5a,Grik2,Igfbpl1,Gnaq,Nlgn2,Cacna2d2,Atp1a2,Hcn1,Ncam2,Mdga1,Mbp,Gabrd,Nf1,Synpr,Idh2,Slc6a1,Tgfbr1,Lamb1
Epb41l1,Mapk8ip3,Msi2,Ubc,Apoe,Sptan1,Syp,Grm3,Tcf7l2,Neurod2,C1qc,Gbx2,Lrp8,Sox1,Igfbpl1,Atp6v1c1,Ryk,Adcy2,Grik2,Clstn2,Chd6,Epha7,Rnf2,Nectin3,Fbxo31,Set,Arhgap32,Psen2,Eef1a2,Cntnap2,Sdc4,Stmn2
Fam163b,Dlgap1,Gnao1,Dpysl2,Ctnnb1,Epha4,Cntnap1,Cplx2,Jam2,Dlgap1,Apoe,Vsir,Gsn,Egfr,Sptan1,Pak3,Sox9,Kcnq3,Sox9,Adcy1,Lamb1,Efna3,Gabrb3,Dio2,Hopx,Ntn1,Clta,Tafa2,Ctnnb1,Mecp2,Creb1,Idh2
C1ql3,Sptan1,Idh2,Stmn1,Gnas,Prkcg,Hcn1,Prex2,Ankrd11,Slc17a7,Camk2a,Igsf1,Axin2,Stmn1,Sema6d,Plcb1,Sfxn5,Foxg1,Cplx2,Fat3,Apoe,Zbtb20,Fbxw7,Cacna2d1,Id4,Gli3,Prkacb,Ryk,Epb41l1,Pdgfra,Fezf2,Neo1
Frrs1l,Grin2b,Pax6,Ptpn11,Mpzl1,Camk2b,Nsf,Msi2,Ptprm,Epha6,Ptprc,Slc6a3,Ptprm,Gfap,Ncam1,Astn1,Parp1,Mpped1,Gfap,Dync1i1,Mfge8,Cnr1,Icam2,Cplx1,Sox2,Dock7,Rims1,Nr4a2,Chd7,Ablim1,Ap2m1,Tead1
Cntnap1,Prkcg,Ptprz1,Rtn4,Itpr3,Crmp1,Chd6,Ptprm,Ncam1,Neurod6,Efhd2,Icos,Syne2,Mex3a,Camk2b,Syt1,Neurod1,Kcnh7,Id4,Cplx2,March6,Gap43,Nectin3,Meis2,Pou3f2,Lmnb1,Dcc,Sun2,Dnm1,Slc2a13,Rhoa,Ppp3cb
Sptan1,Neurod2,Fgfr3,Gnai1,Axin2,Ptprs,Kcna2,Ptprz1,Ptprs,Sptan1,Gnai2,Foxd3,Slc38a3,Tead1,Draxin,Ppp3cb,Prox1,Slc1a6,Sox11,Slc17a6,Flna,Sqstm1,Gabre,Slc6a1,Gphn,Klhl24,Sema7a,Ssh2,Cplx3,Vldlr,Atp6v1d,Cdh2
Ntrk3,Rab3a,Slc4a4,Chd7,Prom1,Gria2,Nlgn2,Pax6,Ptprj,Syn1,Rhob,Efnb1,Msi2,Sall3,Pou3f3,Cntnap1,Agt,Nr4a1,Sfxn5,Grk2,Chd2,Epb41l3,Grin2d,Huwe1,Pax6,Fezf2,Gnb1,Igf1r,Pdcd1,Hdac4,Pld4,Crmp1
