min_dist,spread,gamma,param_string,runtime,x_range,y_range,total_spread,cluster_separation,neighborhood_preservation
0.3,1.5,1.0,min_dist_0.3_spread_1.5_gamma_1.0,38.266512870788574,26.553793,26.147,52.70079,6.807838330264755,0.1364666666666668
0.3,1.5,2.0,min_dist_0.3_spread_1.5_gamma_2.0,38.43139886856079,34.6453,33.219685,67.86499,9.271709727642172,0.13786666666666691
0.3,1.5,5.0,min_dist_0.3_spread_1.5_gamma_5.0,38.80228900909424,46.400402,50.909626,97.31003,12.296050382560091,0.1497333333333333
0.3,1.5,10.0,min_dist_0.3_spread_1.5_gamma_10.0,37.74223446846008,56.247555,68.6662,124.91376,15.676454787545785,0.1533333333333332
0.3,2.0,1.0,min_dist_0.3_spread_2.0_gamma_1.0,38.38255000114441,33.092674,34.865738,67.95841,9.02646358487615,0.13426666666666684
0.3,2.0,2.0,min_dist_0.3_spread_2.0_gamma_2.0,37.93385028839111,42.646347,45.224705,87.87105,11.758248471671498,0.1437333333333331
0.3,2.0,5.0,min_dist_0.3_spread_2.0_gamma_5.0,37.718982458114624,56.240696,66.022675,122.26337,15.448265918488737,0.15039999999999984
0.3,2.0,10.0,min_dist_0.3_spread_2.0_gamma_10.0,42.937501668930054,68.470375,81.58409,150.05447,17.56718728683759,0.15306666666666655
0.5,0.5,1.0,min_dist_0.5_spread_0.5_gamma_1.0,37.87812924385071,12.879433,13.145482,26.024914,3.0701514937964154,0.110666666666667
0.5,0.5,2.0,min_dist_0.5_spread_0.5_gamma_2.0,38.43588924407959,15.896425,15.595797,31.492222,3.691612251182311,0.11126666666666693
0.5,0.5,5.0,min_dist_0.5_spread_0.5_gamma_5.0,38.295461893081665,20.3728,20.05786,40.43066,4.632888384126065,0.1233333333333337
0.5,0.5,10.0,min_dist_0.5_spread_0.5_gamma_10.0,38.44353413581848,23.595804,23.670397,47.2662,5.565678818474573,0.11673333333333344
0.5,1.0,1.0,min_dist_0.5_spread_1.0_gamma_1.0,38.114325284957886,21.644701,22.26617,43.910873,5.077633377155855,0.12553333333333358
0.5,1.0,2.0,min_dist_0.5_spread_1.0_gamma_2.0,39.579875469207764,26.502506,27.815603,54.318108,6.426845669733337,0.12800000000000047
0.5,1.0,5.0,min_dist_0.5_spread_1.0_gamma_5.0,38.91033148765564,35.134792,38.10331,73.2381,8.95651184331053,0.1333333333333336
0.5,1.0,10.0,min_dist_0.5_spread_1.0_gamma_10.0,37.7387478351593,42.28559,48.152077,90.43767,10.927552048835096,0.1448
0.5,1.5,1.0,min_dist_0.5_spread_1.5_gamma_1.0,38.41358160972595,28.806105,28.525816,57.33192,7.019624781648691,0.12966666666666685
0.5,1.5,2.0,min_dist_0.5_spread_1.5_gamma_2.0,38.15866279602051,36.37049,36.869186,73.23968,8.898788174505361,0.14073333333333324
0.5,1.5,5.0,min_dist_0.5_spread_1.5_gamma_5.0,37.89706635475159,46.64956,49.102657,95.75221,12.599615319590859,0.14599999999999977
0.5,1.5,10.0,min_dist_0.5_spread_1.5_gamma_10.0,38.05452632904053,57.833023,64.43856,122.27158,15.376187949443365,0.1417333333333333
0.5,2.0,1.0,min_dist_0.5_spread_2.0_gamma_1.0,38.64850044250488,34.859673,33.68115,68.54082,8.834119064486734,0.13353333333333353
0.5,2.0,2.0,min_dist_0.5_spread_2.0_gamma_2.0,38.617533922195435,44.59404,45.346153,89.94019,11.362873361006205,0.14106666666666687
0.5,2.0,5.0,min_dist_0.5_spread_2.0_gamma_5.0,38.67443013191223,57.861046,63.185318,121.046364,14.422509246471796,0.14586666666666642
0.5,2.0,10.0,min_dist_0.5_spread_2.0_gamma_10.0,38.747206926345825,68.41875,80.86507,149.28381,17.722387224072943,0.14053333333333345
0.8,0.5,1.0,min_dist_0.8_spread_0.5_gamma_1.0,37.79499673843384,16.494171,17.272408,33.76658,3.67872992876259,0.10233333333333348
0.8,0.5,2.0,min_dist_0.8_spread_0.5_gamma_2.0,38.8169629573822,19.29236,19.661814,38.954174,4.175017401086996,0.10333333333333339
0.8,0.5,5.0,min_dist_0.8_spread_0.5_gamma_5.0,38.75017333030701,22.325632,22.426147,44.751778,4.951121353294272,0.10726666666666698
0.8,0.5,10.0,min_dist_0.8_spread_0.5_gamma_10.0,38.40249443054199,25.254807,25.706184,50.96099,5.7098320335901755,0.10760000000000013
0.8,1.0,1.0,min_dist_0.8_spread_1.0_gamma_1.0,38.098469495773315,24.898293,24.953146,49.85144,5.7158494660262384,0.11693333333333365
0.8,1.0,2.0,min_dist_0.8_spread_1.0_gamma_2.0,38.755547285079956,30.17564,32.278538,62.454178,6.935666749311393,0.11786666666666691
0.8,1.0,5.0,min_dist_0.8_spread_1.0_gamma_5.0,37.88402271270752,37.66411,40.101913,77.76602,9.189200425417704,0.12386666666666708
0.8,1.0,10.0,min_dist_0.8_spread_1.0_gamma_10.0,38.31673836708069,43.83277,47.9221,91.75487,11.441418409095345,0.12953333333333367
0.8,1.5,1.0,min_dist_0.8_spread_1.5_gamma_1.0,38.67010998725891,31.362286,31.046886,62.409172,7.507280335403605,0.12186666666666689
0.8,1.5,2.0,min_dist_0.8_spread_1.5_gamma_2.0,38.405455350875854,38.4617,39.859474,78.321175,9.503132035251852,0.12393333333333371
0.8,1.5,5.0,min_dist_0.8_spread_1.5_gamma_5.0,38.37270188331604,50.54332,53.440704,103.984024,12.448212381753459,0.13540000000000002
0.8,1.5,10.0,min_dist_0.8_spread_1.5_gamma_10.0,38.361268758773804,59.573105,67.8642,127.4373,15.239828254999264,0.1313333333333335
0.8,2.0,1.0,min_dist_0.8_spread_2.0_gamma_1.0,38.76183223724365,37.987827,36.535492,74.523315,9.280277554742478,0.12600000000000014
0.8,2.0,2.0,min_dist_0.8_spread_2.0_gamma_2.0,38.726794958114624,46.027122,46.375263,92.40239,11.558443552954408,0.13106666666666686
0.8,2.0,5.0,min_dist_0.8_spread_2.0_gamma_5.0,38.54559946060181,58.100197,67.1176,125.2178,15.516582728632326,0.14339999999999986
0.8,2.0,10.0,min_dist_0.8_spread_2.0_gamma_10.0,38.57702946662903,74.26468,80.71719,154.98187,18.386422936078326,0.14333333333333348
