2,1,3,9,6,10,11,5,0.0,20,0.1,19,13,16,17,22,18,8,0.5,7,0.7,21,0.4,0.8,23,0.6,0.3,0.2,12,0.9,0.10,4,15,14
Stxbp1,Gabbr1,Cd34,Igfbpl1,Apoe,Grik3,Sox1,Srgap1,Cldn15,Aqp4,Gria1,Ptprs,Robo1,Apoe,Gria1,Vcan,Huwe1,Ntrk3,Crmp1,Ncam1,Ubc,Cd274,Camk2b,Nrp1,Meis2,Mpped1,Alcam,Unc13b,Gfap,Grik2,Cdh24,Ctnnb1,Efna5,Srgap3
Nrp1,Slc6a11,Trim25,Sox4,Glul,Ptprz1,Pou3f3,Ptprm,Cd4,Clu,Sptan1,Nfix,Gria2,Tmem119,Robo1,Gria2,Tead1,Stxbp1,Neurod6,Epha4,Cntn4,Diablo,Stmn2,Nectin1,Mfge8,Dcc,Efna4,Ttc28,Ptk2,Zbtb20,Atp6v0b,Sox4,Gabra3,Nfib
Ppp3cb,Pou3f3,Ubc,Stxbp1,Sox9,Ankrd11,Pax6,Stmn2,Calb1,Rgs3,Gabra5,Gria1,Grin1,Bin1,Stmn2,Sox11,Lef1,Atp1a3,Gabra5,Tubb3,Rasgrp1,Dync1i1,Ptprj,Sema6d,Sox2,Stmn1,Best1,Sema6b,Trak2,Celf2,Neurod6,Nrn1,Syt2,Tet2
Epha4,Atp1b2,Flna,Nfix,Pou3f3,C1ql1,Sox2,Pak3,Itgb2l,Sema6d,Robo1,Sema5a,Crmp1,Grk2,Frrs1l,Slc1a3,Ptprm,Zbtb20,Neurod2,Robo1,Gria2,Nfib,Neurod6,Nrp2,Grm3,Robo2,Foxd3,Lrp1,S100b,Chd6,Gng3,Ptk2,Atp6v1g1,Epha4
Grin2b,Sox2,Ptprb,Sema5a,Mfge8,Vcan,Pou3f2,Grik3,Best1,Sox1,Syp,Nrp2,Bin1,Itgam,Sox11,Pou3f3,Msi2,Grin2a,Stxbp1,Meis2,Grin1,Kcnh7,Frrs1l,Epha7,Fabp7,Ddx5,Sema3c,Sema4a,Gsn,Lrp8,Gnai1,Limk1,Slc12a5,Wdr62
Grin1,Mfge8,Igf1r,Bhlhe22,Slc1a3,Itpr2,Lmnb1,Epb41l1,Gnal,Ablim1,Gabbr2,Chd6,Gnai1,Cd86,Foxg1,Ptprz1,Mest,Cadm1,Grin2b,Rab3a,Srgap1,Msi2,Grin2a,Sox4,Ptprs,Unc5d,Ssh3,Sema5a,Ubc,Meis2,Gnb2,Lrp8,Slc35f1,Btrc
Nectin3,Slc1a3,Itgb1,Sema6d,Gnao1,Nlgn3,Btg1,Cacna1b,Gal,Srgap3,Ppp3cb,Sox4,Gabra5,Gfap,Neurod6,Slc6a11,Ccnd2,Cplx2,Kcnd2,Nfasc,Gnai1,Fat3,Nectin1,Foxg1,Id4,Slc17a6,Vamp1,Mpped1,Sema4d,Mdga1,Cd28,Lamb1,Epha3,Ccna2
Trpc4,Hes5,Cobll1,Ttc28,Atp1b2,Fabp7,Dlx1,Grin1,Wdr62,Zbtb20,Gnai1,Sema6d,Grin2b,Ptgs1,Grik2,Neurod1,Apoe,Sema5a,Epha7,Ptprs,Satb2,Srgap3,Rab3a,Neurod2,Pou3f2,Mex3a,Kcnj2,Fbxo8,Rgs3,Gnaq,Cd6,Cdh2,Creb1,C1ql3
Rasgrp1,Pax6,Sema6d,Nrp2,Slc6a11,Nxph1,Ccdc88a,Bin1,Pdcd1lg2,Cadm1,Camk2b,Zfp609,Frrs1l,Efhd2,Pou3f3,Sox9,Cntn1,Tiam1,Trpc5,Stx1b,Mpped1,Kit,Calm1,Draxin,Hopx,Nrn1,Cacng5,Kcnq3,Omg,Unc5d,Ccr2,Chd2,Kcnj3,Cacng5
Bin1,Gnao1,Slc38a2,Nrp1,Sox2,Gria2,Dlx2,Cnr1,Glycam1,S100b,Grin1,Nectin1,Syt1,C1qc,Ppp3cb,Gfap,Unc13b,C1ql3,Bin1,Robo2,Nrp1,Clstn2,Gabra2,Cdh2,Cdh2,Elavl4,Disc1,Plxna4,Plcg2,Gria2,Gng11,Stx5a,Ntn1,Rock2
Neurod2,Id4,Nes,Neurod2,Pax6,Sox2,Tead1,Rab3a,Pard6a,Tead1,Tubb3,Lrp8,Trpc4,Glul,Rab3a,Mfge8,Igf1r,Fam163b,Rasgrp1,Sox11,Epha7,Cacna2d2,L1cam,Ptk2,Gabbr1,Meis2,Fbxo31,Rbfox2,Parp1,Atp1a1,Vtcn1,Cadm3,Dnm3,Emx2
Stmn2,Sfxn5,Lrp8,Neo1,Tnfrsf19,Omg,Sp8,Nxph1,Pla2g4d,Cd24a,Slc17a7,Neo1,Camk2b,Itga9,Prkca,Prox1,Ccdc141,Nfib,Bcl11b,Mpped1,Snhg11,Cacna1a,Epha7,Ptprs,Sfxn5,March6,Cacnb2,Tbr1,Tuba1a,Foxg1,P2rx4,Mpped1,Slc1a1,Eomes
Robo1,Ccdc80,Ccdc141,Mex3a,Sfxn5,Tcf7l2,Nfia,Gng2,Gdf7,Slc25a18,Syn1,Asxl3,Nrp1,Gnai2,Dnm1,Chd7,Kit,Gria2,Gnai1,Grin2b,Trpc4,Nfasc,Nectin3,Limk1,Chd7,Lhx2,Thrsp,Gabrb3,Olig2,Slc38a1,Grm5,Pou3f3,Unc13c,Skp2
Prkca,Rgma,Itga4,Grik2,Nfia,Bmp7,Vcan,Ncam1,Pard3,Ngef,Nrp1,Neurod2,Calm1,Itgb2,Nrp1,Apoe,Folr1,Grik2,Pak3,Plxna4,Grin2b,Camk2a,Gng2,Asxl3,Sox9,Cenpf,Psen2,Lpar1,Csf1r,Nlgn3,Pik3cb,Plcb1,Prex2,Gjb6
Slit3,Kcnip3,Axin2,Bin1,Hes5,Atp1a2,Nfix,Tubb3,Cldn7,Meis2,Cplx2,Ttc28,Nectin3,Vsir,Huwe1,Msi2,Lrp6,Dlgap1,Srgap1,Asxl3,Nectin3,Slc2a13,Bin1,Tiam1,Ngef,Atp6v0a1,Lnpk,Plxnb2,Srgap1,Pou3f3,Gabra3,Ankrd11,Adgrg1,Sp8
Kcnd2,Clu,Ctnnb1,Nectin1,Kcnip3,Mbp,Cdh2,Limk1,Gata2,Jam3,Eef1a2,Stmn1,Cadm1,Tgfbr1,Gabbr2,Cdh2,Gsn,Bin1,Snhg11,Sema7a,Dpysl2,Dnm1,Gria2,Lamb1,Ccdc80,Ntng2,Ap2m1,Neo1,Mog,Cacna1a,Syt2,Zbtb20,Kcnh7,Slc35f1
Frrs1l,Aldh1l1,Arhgef12,Foxg1,Id4,Cux2,Sall1,Adcy2,Cldn6,Sall1,Rapgef2,Foxg1,Srgap3,Srgap2,Gnai1,Slc6a1,Six3,Neurod2,Plxna4,Pak3,Nsf,Lhx1,Grin2b,Grik2,Clu,Limk1,Cdk5r1,Syt6,Apba1,Dlgap1,Ccna2,Nfasc,Dnm1,Cenpe
Calm1,Pou3f2,Col3a1,Lrp8,Nfib,Mpzl1,Id4,Gabbr2,Gng11,Trp73,Gap43,Ntrk3,Ptprj,Ptprc,Tubb3,Sfxn5,Flna,Stxbp6,Frrs1l,Camk2b,Tubb3,Aqp4,Syn1,Ttc28,Aldh1l1,Ptprd,Gabra4,Grk3,Dpysl2,Atp6v0b,Tafa2,Fbxo45,Dock7,Raf1
