7,15,5,3,2,1,6,9,0.2,17,11,0.3,19,0.6,10,0.5,22,16,21,0.0,0.4,0.7,0.9,13,23,18,12,4,0.8,0.1,20,14,0.10,8
Stxbp1,Robo1,Dnm1,Mpzl1,Dnm1,Pax6,Slc1a2,Epha4,Kcnq3,Limk1,Nfia,Kcng4,Ncam1,Pou3f2,Ptprz1,Huwe1,Igfbpl1,C1qc,Robo2,Tubb3,Grm2,Grin2a,Neurod2,Cadm1,Vim,Cntn2,Stmn1,Neurod2,Atp1a1,Gnai1,Jam3,Draxin,Fxyd7,Gls2
Gabbr1,Cldn5,Slc32a1,Gnai2,Nrp1,Ccdc80,Atp1a2,Plxna4,Meis2,Slc6a11,Nfib,Rnf7,Dpysl2,Plxna4,Sox2,Ncam1,Ccnd2,Gnai2,Cacna2d2,Mdh2,Sema5a,Syt1,Mex3a,Srgap1,Atp1a2,Rtn4,Mog,Nfib,Nlgn2,Cadm3,Sema5b,Cdh4,Lnpk,En1
Slitrk1,Ddx5,Grik1,Axin2,Tubb3,Gfap,Nfib,Ptprs,Ptprs,Chd7,Pax6,Cd8a,Plxna4,Sox4,Sdc3,Fezf2,Nfix,Cx3cr1,Slc2a13,Cdk5r1,Pak6,Gng3,Rtn4,Epb41l1,Cd274,Cd8b1,Gng8,Lrp8,Cdh2,Sptan1,Pak4,Epha4,Aldoc,Dlx1
Sox4,Cd86,Gad1,Lef1,Epha7,Ccnd2,Olig2,Grik2,Plxna2,Cacnb4,Cenpe,Map3k5,Ryk,Gria2,Sox9,Nlgn2,Nfia,Col3a1,Diablo,Cxcl14,Plxna4,Grik2,Meis2,Mef2c,Gli3,Stx19,Pax2,Ptprs,Chd7,Rgma,Smo,Chd7,Cep44,Drd1
Crmp1,Lhx1,Gng2,Bmp7,Fezf2,Htra1,Ccnd2,Srgap3,Cd24a,Gria1,Ccnd2,Best1,Sema6d,Kcnq3,Cdh20,Neo1,Slc38a1,Grk2,Cd274,Dcx,Eef1a2,Dcx,Slc38a1,Ptprs,Sox4,Hpcal1,Pard6a,Nr4a3,Sema5a,Atp1a3,Sox1,Ccnd2,Cdk19,Pik3cb
Nfib,Cdkn2c,Epha7,Gnas,Camk2b,Meis2,Vim,Plcb1,Syp,Ddx5,Fabp7,Cldn19,Sox11,Meis2,Erbb4,Gria3,Prox1,Chd2,Chd7,Ndrg4,Sema6d,Frrs1l,Plxna2,Cux2,Sall3,Cldn10,Ptprc,Gria2,Nrp2,Gng2,Syn1,Chd6,Slc17a6,Ncam2
Sox11,Mfng,Sox2,Pdgfra,Grin2a,Egfr,Nfia,Fxyd6,Pou3f2,Cdk6,Vcan,Cd22,Draxin,Dcc,Bmp7,Bcl11b,Ptch1,Vim,Cacna2d1,Tanc1,Srgap3,Rgma,Mpped1,Nfix,March6,Ptk2,Thrsp,Kcnd2,Dpysl2,Rapgef2,Sox9,Atp1a2,Kcnc1,Snap29
Nlgn2,Lockd,Slc6a1,Cxcl12,Gnao1,Msi2,Ccdc80,Limk1,Sox4,Elavl2,Atp1b2,Cd2,Pou3f3,Mex3a,Egfr,Rgma,Neo1,Atp1a2,Msi2,Bmerb1,Dcc,Dlg3,Grin1,Atp1a3,Dio2,Bmp4,Junb,Neurod6,Mapk1,Sparcl1,Set,Lrrc4b,Gabra2,C1qa
Foxg1,Itgb2l,Mpped1,Trim25,Bin1,Glul,Pax6,Slc1a2,Cntn2,Fzd3,Gnai2,Gzmb,Slc17a6,Nrn1,Nlgn3,Gabra1,Slc6a11,Cxcl12,Kit,Kcnc2,Cdc37,Socs7,Slc6a11,March6,Chd6,Gls2,Grm2,Insm1,Ncam1,Synpr,Spop,Vim,Lmnb2,Elavl4
Mpped1,Nrn1,Dlx2,Igf1r,Grin2b,Nfia,Sox2,Eomes,Bmpr1b,Cdkn2c,Plxnb1,Pard3,Meis2,Ntng2,Chd6,Lrrc4c,Mfge8,P2ry13,Nfasc,Cdkn1b,Epha7,Slitrk5,Robo1,Calm1,Slc6a11,Clic6,Omg,Cnr1,Nfix,Kcnh1,Fabp7,Sox4,Diablo,Nr2f1
Nfix,Itpr2,Nlgn2,Pecam1,Ncam1,Zbtb20,Gli3,Lrp8,Sema5a,Plcb1,Sox1,Ppp3r2,Ccdc80,Cnr1,Map2,Dpysl2,Ankrd11,Ptprc,Ubc,Itgav,Cdk6,Kcnh7,Cux2,Sox11,Ptprm,Casp9,Pla2g4b,Pou3f3,Zyg11b,F11r,Pak2,Nlgn2,Fbxo38,Negr1
Nrcam,Chd7,Crmp1,Pdgfrb,Stxbp1,Cdh4,Tnfrsf19,Igfbpl1,Neo1,Camk2g,Sox9,Fxyd7,Slc1a2,Ctnnb1,Ubc,Gng2,Cul1,Cd86,Plcb1,Hoxa9,Unc5a,Nrn1,Nfib,Srgap2,Ankrd11,Cd40,Sox10,Sema6c,Nipbl,Nos1,Slc1a2,Jam2,Prkacb,Gnb4
Bin1,Slitrk5,Sox1,Cd34,Gria1,Sox2,Ubc,Ttc28,Clstn2,Gnai1,Lmnb1,Mdh1,Nectin1,Nr2f1,Atp1a2,Rasgrp1,Sox9,Glul,Slitrk5,Cldn6,Kcnj3,Cacna1c,Prkaca,Bin1,Grm3,Eomes,Cdk5,Mpped1,Mdga1,Efna2,Gria1,Tgfb2,Ptprs,Stx17
Tet2,Id4,Stxbp1,Ccdc141,Nr4a2,Atp1b2,Atp1b2,Flna,Ntng2,Creb1,Atp1a2,Nfatc4,Ephb2,Mdga1,Mki67,Nr4a2,Pou3f3,Sparcl1,Srgap3,Ap2a1,Grin2a,Cadm1,Wdr47,Ncam1,Pax6,Alg13,Huwe1,Pou3f2,Grik3,Dll1,Idh2,Sall1,Atp6v0e2,Stx7
Mex3a,Kcnj3,Cadm1,Itgb1,Dpysl2,Slc1a3,Cdh4,Nectin1,Epha4,Grk3,Axin2,Gda,Fbxw11,Mfng,Ankrd11,Cntn1,Ptprs,Ccnd2,Kcnh7,Fas,Cadm3,Tbc1d24,Pik3ca,Gabrb2,Zfp609,Ptgs1,Kctd7,Slc1a2,Lrp8,Pafah1b1,Syne2,Smo,Socs7,Pdpk1
Dpysl2,Stx17,Kcnc2,Ccnd2,Ppp3cb,Sall3,Gnai2,Cacna1a,Cacna2d1,Tgfb2,Rgma,Slc4a4,Nlgn1,Slc38a1,Draxin,Gnao1,March6,Efhd2,Dync1i1,Cdh15,Chrnb2,Bmpr2,Sqstm1,Asxl3,Olig2,Slitrk3,Ppp3cc,Satb2,Epha7,Cxcl14,Arhgef2,Gabrb2,Spop,Grin3a
Nfasc,Vcan,Gad2,Glul,Trpc4,Gnai2,Meis2,Tbr1,Cplx3,Unc13a,Mfge8,Wnt3,Gria1,Idh2,Scrib,Srgap2,Zmiz1,Itgb1,Lhx5,Npy,Slc6a1,Rbfox3,Src,Erbb4,Atp1b2,Sec22b,Pard6b,Sox11,Cacnb4,Lhx1,Ryk,Fbxo38,Tbc1d24,Ablim1
Dync1i1,Dsp,Cacna1b,Kit,Neurod6,Chd7,Grm3,Neo1,Ccr2,Itgb2l,Ccna2,Sema3f,Grin1,Sema4c,Gpr17,Nsf,Tnfrsf19,Apcdd1,Nfix,Gng7,Zmiz1,Unc13a,Jun,Grin1,Fabp7,Lockd,Cd86,Gnao1,Lmnb1,Numb,Fzd3,Srsf11,Cdk5r1,Creb1
Camk2b,Adcy3,Dlgap1,Bmp5,Gria2,Hes5,Ctnnb1,Mdga1,Sema4a,Slitrk5,Btg1,Drd1,Sox9,Vcan,Cul1,Mpped1,Ttc28,P2ry12,Vim,Cldn1,Best1,Psen2,Atp6v1e1,Fzd3,Arhgap32,Efna2,Gjb6,Stxbp1,Ddx3x,Bmerb1,Slc38a1,Efhd2,Chl1,Atp6v0b
Dnm1,Alpl,Syt1,Slc38a3,Nlgn2,Gli3,Sfxn5,Vim,Grm1,Myt1l,Slc1a2,Cenpf,Cd9,Astn1,Meis2,Nectin3,Mex3a,Pdgfra,Clstn2,Cntnap1,Ascl2,Neurod6,Fat3,Ccdc88a,Nfia,Mpz,Tafa2,Foxg1,Plxna2,Cd274,Draxin,Fubp1,Fbxo45,Atp6v0d1
