9,11,2,4,5,3,6,10,8,18,14,12,20,1,0,16,19,13,15,21
Epha4,Prox1,Id4,Lpar1,Bmpr2,Unc5d,Gabbr1,Kcnip3,Kcnc1,Mki67,Tgfbr1,Cobll1,Fzd3,Gria1,Cacnb4,Syt6,Cdh3,Camk2g,Ppp3r1,Snhg11
Syt1,Nsf,Pou3f3,Olig2,Trim25,Slc1a2,Rgs3,Tcf7l2,Cnr1,Gria2,P2ry13,Glul,Rgs4,Gng3,Rgs3,Plcb1,Slc38a3,Atp1a2,Ntrk3,Atp6v0a1
Syp,Neurod2,Sfxn5,Rgs3,Vim,Spi1,Ubc,S100b,Eef1a2,Foxg1,Camk2a,Bmp7,S100b,Syp,Grin1,Nhlh2,Tead1,Src,Gnai2,Nfia
Gabra5,Stxbp1,Gnao1,Grm3,Syne2,Ntng1,Sema4d,Erbb4,Ptprm,Prox1,Ptgs1,Lef1,Sox2,Camk2a,Srgap1,Srgap3,Lamb1,Ntsr2,Atp1b2,Syn1
Epha7,Stxbp6,Slc1a3,Stmn1,Cobll1,Gmnn,Grm3,Cspg4,Gad2,Mex3a,Srgap2,Itgb1,Gnai2,Vamp2,Syn1,Cacna2d2,Dsp,Efhd2,Cntn1,Ubc
Rab3a,Adcy1,Mbp,Sox2,Gfap,Sp8,Olig1,Nfasc,Cux2,Draxin,Bin1,Ntn1,Nfia,Dlgap1,Calm1,Eef1a2,Msi2,Nlgn2,Snhg11,Atp1a2
Mapk8ip3,Tiam1,Grm3,Trak2,Gnai2,Pde2a,Efnb3,Sox2,Grik1,Flna,Efhd2,Gnai2,Srgap3,Ptprs,Ubc,Rgs4,Lrp6,Lrp6,Syn1,Atp1a3
Sptan1,Nrcam,Prex2,Efnb3,Prom1,Id3,Mast3,C1ql1,Syp,Nfix,C1qc,Pecam1,Cadm1,Stx1a,Kcna2,Slc17a6,Atp1a2,Glul,Ddx5,Sparcl1
Ptprs,Epb41l1,Msi2,Erbb4,Mpzl1,Cldn16,Pak1,Nlgn3,Chd6,Lmnb1,Ptprc,Ryk,Gsn,Frrs1l,Syt1,Dync1i1,Apoe,Gnai2,Grik2,Mbp
Prkcg,Fam163b,Camk2a,Gnai1,Camk2a,Vsx2,Chd7,Srgap1,Slc32a1,Nlgn2,Mbp,Gnas,Lrp8,Kcnq3,Nsf,Fat3,Kcnh1,Glycam1,Rapgef2,Grin1
Neurod2,C1ql3,Idh2,Acsl1,Ablim1,Stx19,Scrib,Jam2,Nxph1,Stmn1,Gfap,Ddx3x,Ptprm,Nrxn3,Cntnap1,Ptprs,Chd6,Tigit,Ppp3cb,Frrs1l
Zbtb20,Frrs1l,Pax6,Vamp3,Ctnnb1,Efna4,Rtn4,Ptprs,Cntnap1,Igfbpl1,Ptprj,Igf1r,Axin2,Cacnb4,Rab3a,Gabbr1,Flna,Ntng1,Tet2,Glul
Grin2b,Ntrk3,Pou3f2,Pak1,Itpr3,Cd80,Omg,Dpysl2,Epb41l1,Tead1,Chd7,Acta2,Slc38a3,Nsf,Rasgrp1,Apba1,Mfge8,Lhx1,Srgap3,Gngt1
Syn1,Dlgap1,Fgfr3,Dpysl2,Axin2,Unc13c,Ptpn11,Slc1a1,Gabbr1,Ncam1,Gnai2,Slc6a13,Msi2,Shank1,Epb41l3,Grk2,Ptprm,Gabrg1,Frrs1l,Il33
Dlgap1,Sptan1,Ptprz1,Ptpn11,Jam2,Lhx1,Dpysl2,Cadm1,Gnas,Lrp8,Rhob,March6,Syne2,Gnai1,Cux2,Robo2,March6,Cldn10,Grin1,Cycs
