names,scores,logfoldchanges,pvals,pvals_adj,group,sample_id
Stxbp1,1.7503386,0.3048683,0.0800599058325959,0.17750002216926572,3,p30_R3_mut
Cntnap1,1.514848,0.67506844,0.12981090533586395,0.26125465224827965,3,p30_R3_mut
Mbp,1.4653863,0.10756675,0.14281556592650252,0.28444594043452787,3,p30_R3_mut
Nsf,1.325759,0.30881953,0.18491951099019988,0.34138986644344593,3,p30_R3_mut
Rasgrp1,1.1701987,0.7471387,0.2419210420008997,0.4169554763390731,3,p30_R3_mut
Fgf13,1.0099162,1.4343672,0.3125354198452932,0.5008914909039758,3,p30_R3_mut
Prkcb,0.7593629,1.2091651,0.44763550479742276,0.6423469127137905,3,p30_R3_mut
Sfxn5,0.57198864,0.28865522,0.5673296565290775,0.7452270497764,3,p30_R3_mut
Shank2,0.561516,0.993139,0.5744458508693083,0.7452270497764,3,p30_R3_mut
Stmn2,0.5363234,0.8019626,0.591735023284218,0.752201945453212,3,p30_R3_mut
Bmerb1,0.3897057,1.2398481,0.6967541880679673,0.8191036818989226,3,p30_R3_mut
Nrxn1,0.3502418,1.3956507,0.7261572216777147,0.8336632923529589,3,p30_R3_mut
Gad2,0.3354165,1.1151934,0.737310927966812,0.8386475010049046,3,p30_R3_mut
Rbfox3,0.29940835,0.68713456,0.7646284900978825,0.8515584112459016,3,p30_R3_mut
Gap43,0.29334104,0.942438,0.7692614822912351,0.8546196338690047,3,p30_R3_mut
Rims1,0.2449345,0.57279617,0.8065071496426235,0.8707555928076682,3,p30_R3_mut
Slc32a1,0.17816776,0.7048965,0.8585912328549032,0.899833606485488,3,p30_R3_mut
Best1,0.13638248,1.5124006,0.8915189208714654,0.9183027511122391,3,p30_R3_mut
Gal,0.091589935,2.0477128,0.9270238459574076,0.9447376774088231,3,p30_R3_mut
Gng4,0.07581494,1.0026915,0.9395663274451211,0.9535989036640697,3,p30_R3_mut
Ocln,0.07565667,1.0267199,0.9396922529856354,0.9535989036640697,3,p30_R3_mut
Prkca,0.066608466,0.42831817,0.946893405790961,0.9578157455570097,3,p30_R3_mut
Cldn5,24.747284,6.8576827,3.3162221758862585e-135,3.1835732888508084e-132,5,p30_R3_mut
Sema7a,22.468103,4.297442,8.515181383824556e-112,4.087287064235787e-109,5,p30_R3_mut
Igf1r,20.504993,3.9302876,1.942952879094244e-93,6.21744921310158e-91,5,p30_R3_mut
Apcdd1,19.043352,4.9558673,7.459704769254679e-81,1.790329144621123e-78,5,p30_R3_mut
Ptprm,17.851822,3.7966821,2.7975626566031654e-71,5.371320300678078e-69,5,p30_R3_mut
Cdh5,17.79935,5.797221,7.149343900160741e-71,1.1438950240257186e-68,5,p30_R3_mut
Lef1,17.710255,5.790693,3.4948991108137387e-70,4.79300449483027e-68,5,p30_R3_mut
Pecam1,17.203167,5.3586574,2.5140395984663276e-66,2.9961348115963314e-64,5,p30_R3_mut
Ptprb,17.196741,5.156678,2.8088763858715605e-66,2.9961348115963314e-64,5,p30_R3_mut
Ccdc141,16.897411,5.8579407,4.7009400834651695e-64,4.512902480126563e-62,5,p30_R3_mut
Pdgfb,15.867851,4.9704914,1.0580155101774675e-56,9.233589907003353e-55,5,p30_R3_mut
Shank3,14.2611265,2.4518769,3.82236360776596e-46,3.057890886212768e-44,5,p30_R3_mut
Ablim1,13.983292,3.512093,1.9715404969637925e-44,1.4559068285271083e-42,5,p30_R3_mut
Slc38a3,12.728888,3.3915906,4.086183567041846e-37,2.8019544459715517e-35,5,p30_R3_mut
Cd34,12.226412,4.9758234,2.2464512700065e-34,1.43772881280416e-32,5,p30_R3_mut
Sparcl1,11.890717,1.3847592,1.322666854802856e-32,7.4691775330043635e-31,5,p30_R3_mut
Gnai2,11.729641,2.0211048,8.983912607489187e-32,4.791420057327567e-30,5,p30_R3_mut
Ctnnb1,11.28759,1.8282769,1.5112420689201917e-29,7.635749400859916e-28,5,p30_R3_mut
Vim,11.207714,2.3064501,3.737189880209109e-29,1.7938511425003726e-27,5,p30_R3_mut
Bmpr2,11.188466,2.4192114,4.643981686014147e-29,2.1229630564636102e-27,5,p30_R3_mut
Mpzl1,11.113086,2.7116745,1.0834916449762718e-28,4.727963541714641e-27,5,p30_R3_mut
Plxna2,10.847527,2.6067572,2.0489454759608396e-27,8.552120247488721e-26,5,p30_R3_mut
Glul,10.602224,1.5265434,2.909751060746827e-26,1.1173444073267815e-24,5,p30_R3_mut
Slc1a2,10.200889,1.3273325,1.9646565649190578e-24,7.254116547393444e-23,5,p30_R3_mut
Camk2a,9.571166,1.2723508,1.0570689832939926e-21,3.624236514150832e-20,5,p30_R3_mut
Gnas,9.289153,1.3460419,1.555205607068239e-20,4.976657942618365e-19,5,p30_R3_mut
Jam2,8.270716,2.667771,1.3315748993270946e-16,3.994724697981284e-15,5,p30_R3_mut
Trim25,8.17894,4.1706195,2.863524649940479e-16,8.085246070420177e-15,5,p30_R3_mut
Atp1a2,8.062354,0.991747,7.483903521729166e-16,2.052727823102857e-14,5,p30_R3_mut
Notum,8.04982,4.656212,8.291617543226504e-16,2.2110980115270678e-14,5,p30_R3_mut
Nes,8.009248,3.7171836,1.154119257884403e-15,2.991070036275772e-14,5,p30_R3_mut
Prom1,8.006107,4.2490606,1.183965222692493e-15,2.991070036275772e-14,5,p30_R3_mut
Itpr3,7.745764,4.245411,9.500915508656939e-15,2.2802197220776657e-13,5,p30_R3_mut
Unc13b,7.667358,2.7585163,1.75575340605539e-14,4.0131506424123203e-13,5,p30_R3_mut
Syne2,7.584255,2.085975,3.344018249186671e-14,7.465715160974892e-13,5,p30_R3_mut
Cobll1,7.281179,2.8060417,3.3091496521069615e-13,6.759114183026985e-12,5,p30_R3_mut
Mfng,7.1605306,3.4916613,8.036535392896382e-13,1.5430147954361053e-11,5,p30_R3_mut
Arhgef12,6.969458,1.1592244,3.1816363891674775e-12,5.873790256924574e-11,5,p30_R3_mut
Ephb4,6.9241033,3.6506343,4.387451251522552e-12,7.947081512191793e-11,5,p30_R3_mut
Cxcl12,6.8837624,3.492923,5.829204609125949e-12,1.0363030416223909e-10,5,p30_R3_mut
Crip2,6.643532,2.938637,3.062545734489394e-11,5.157971763350559e-10,5,p30_R3_mut
Gfap,6.4295516,1.0035949,1.2798106523191618e-10,2.082403773265077e-09,5,p30_R3_mut
Shank1,6.384427,0.96677935,1.7204030690913877e-10,2.7075195841438233e-09,5,p30_R3_mut
Sdc3,6.3740826,1.2642292,1.8406147531859985e-10,2.8499841339654167e-09,5,p30_R3_mut
Apoe,6.2047653,0.93813384,5.477852092244287e-10,7.733438247874288e-09,5,p30_R3_mut
Cplx2,5.9875293,0.77623105,2.1305280620930516e-09,2.9218670565847565e-08,5,p30_R3_mut
Tnfrsf19,5.9454594,1.8673946,2.7568290896956477e-09,3.7275435578983406e-08,5,p30_R3_mut
Nrp1,5.925375,1.2570758,3.115852595654235e-09,4.1544701275389807e-08,5,p30_R3_mut
Dab2ip,5.9137917,2.842837,3.343210349600072e-09,4.396550596734342e-08,5,p30_R3_mut
Adcy4,5.849217,4.5548635,4.938922328652483e-09,6.321820580675179e-08,5,p30_R3_mut
Slc1a2,30.64229,2.9755108,3.3479579355049987e-206,3.214039618084799e-203,6,p30_R3_mut
