1,2,3,9,11,0.0,5,0.1,6,10,0.2,0.3,17,16,22,13,19,7,21,8,20,23,12,15,4,18
Mfge8,Prkca,Ubc,Neo1,Sox11,Atp6v1f,Lhx6,Rasgrp1,Gnao1,Nlgn3,Plxna2,Rab3a,Srgap3,C1qa,Foxg1,Grin1,Plxna4,Fezf2,Cdh4,Gabra5,Srgap3,Slc6a11,Nfasc,Rnd3,Nhlh2,Bmp7
Pou3f3,Nectin3,Pecam1,Nfix,Lmnb1,Cycs,Bin1,Cadm1,Glul,C1ql1,Neo1,Ppp3cb,Bin1,Gfap,Grik2,Robo1,Nlgn2,Epha7,Kcnh7,Gria2,Rgs3,Ccnd2,Atp6v0c,Junb,Lhx2,Hdac4
Gabbr1,Nrp1,Cd34,Draxin,Tead1,Efemp1,Ptprm,Snhg11,Mfge8,Ankrd11,Klhl24,Slc17a7,Plcb1,Tmem119,Nfia,Bin1,Sema6d,Calm1,Cd274,Ntrk3,Cadm1,Chd6,Gng4,Cntn2,Neo1,Sall3
Atp1b2,Grin1,Slc38a2,Chd7,Sox1,Cd6,Cadm1,Hcn1,Pou3f3,Nxph1,Lrp8,Frrs1l,Atp1a1,Gnai2,Slc1a2,Stmn2,Draxin,Atp6v0a1,Clstn2,Grin2a,Pax6,Pou3f3,Gnb2,Gsk3b,Mdga1,Set
Sox2,Bin1,Itgb1,Sema6d,Nfia,Gng8,Stx1b,Neurod2,Apoe,Grik3,Sema5a,Eef1a2,Stx1b,Itgam,Sox4,Neurod2,Mapk8ip3,Gria2,Fabp7,Stxbp1,Msi2,Cnr1,Gabra4,Prkcz,Igfbpl1,Hes5
Pax6,Stxbp1,Ptprb,Sox4,Zbtb20,Pvalb,Pak3,Nsf,Sox2,Vcan,Nrp1,Gnai1,Plxna2,P2ry13,Gria2,Nsf,Ptprs,Nrcam,Dync1i1,Cntn1,Nfia,Grm3,Rgs3,Pak6,Nfasc,Plaa
Hes5,Grin2b,Cobll1,Cdh2,Sox2,Cd8b1,Cacnb4,Sptan1,Pax6,Fabp7,Dcc,Syt1,Syn1,Efhd2,Zmiz1,Srgap3,Astn1,Pak3,Chd7,C1ql3,Ubc,Prox1,Mog,Fbxo28,Arhgef7,Erbb4
Slc1a3,Trpc4,Sema6d,Igfbpl1,Sox4,Tuba1b,Epb41l1,Kcnd2,Nfib,Sox2,Mex3a,Neurod2,March6,Ptprc,Nlgn2,Frrs1l,Ptk2,Tubb3,Fat3,Cacna2d1,S100b,Slc1a2,Mag,Tanc1,Gnai3,Slitrk5
Kcnip3,Epha4,Ccdc141,Stxbp1,Vcan,Cd80,Syt1,Gnai1,Hes5,Bmp7,Gria1,Syn1,Limk1,Gpr183,Grm3,Cadm1,Ankrd11,Grin2b,Cacna2d2,Fam163b,Flna,Omg,Icam1,Kcnj3,Mex3a,Gnb2
Ccnd2,Neurod2,Flna,Zfp609,Mex3a,Pax2,Npy,Epha4,Slc1a3,Itpr2,Fbxo45,Gria1,Prox1,C1qc,Axin2,Plxna4,Fabp7,Grik2,Kit,Atp1a3,Sema6d,Nfia,Trak2,Tiam1,Syne2,Fbxo45
Tnfrsf19,Gnai1,Arhgef12,Lrp8,Fzd3,Pak7,Rab3a,Crmp1,Slc6a11,Gria2,Foxg1,Epha4,Slitrk1,Ptgs1,Fabp7,Nrp1,Bhlhe22,Gria1,Lhx5,Stx1b,Ptprm,Sox2,Cldn3,Tgfb2,Slc38a1,Mdh2
Nfia,Cadm1,Gnas,Ddx5,Insm1,Sema6b,Ncam1,Srgap3,Ccnd2,Pou3f3,Syt9,Syp,Cacna1b,Atp1a2,Nfix,Camk2b,Clu,Sox4,Camk2a,Bin1,Ablim1,Nfix,Fxyd1,Pecam1,Lrrc4b,Kcna2
Ccdc80,Stmn2,Itga4,Sema5a,Dlx2,Wnt5b,Srgap1,Frrs1l,Nfia,Kcnd2,Insm1,Robo1,Neo1,Cd86,Aqp4,Gabra5,Ccdc88a,Cadm1,Gng7,Slit3,Gnai2,Shank1,Nkx2-1,Mast3,Gfap,Ntrk3
Aldoc,Kcnd2,Ctnnb1,Plxna2,Ccdc88a,Cacna1f,Ubc,Bcl6,Ptprm,Chd6,Pou3f2,Rapgef2,Srgap1,Glul,Limk1,Sptan1,Neo1,Gap43,Diablo,Zbtb20,Spop,Mex3a,Agt,L1cam,Stx16,Msi2
Id4,Grik2,Lrp8,Huwe1,Dlx1,C1ql3,Eef1a2,Cntn4,Tnfrsf19,Sall3,Cdh2,Tubb3,Ankrd11,Aif1,Sfxn5,Srgap1,Ptprj,Cacna1b,Nfasc,Sema5a,Gfap,Chd7,Fn1,Itpr2,Nlgn2,Lamb1
Sfxn5,Ppp3cb,Gfap,Epha7,Cenpe,Atp6v1d,Trpc4,Neurod6,Kcnip3,Tet2,Plxna4,Gnb1,Foxg1,Tgfbr1,Htra1,Epha7,Sox9,Dnm1,Adcy1,Stxbp6,Ngef,Sall3,Depdc5,Fbxo31,Unc13a,Axin2
Camk2a,Sptan1,Nes,Ncam1,Igfbpl1,Slc1a7,Grin1,Foxg1,Sfxn5,Ntn1,Ncam1,Mapk8ip3,Tead1,Camk2a,Sox2,Gabbr2,Grm3,Trpc5,Stxbp1,Adcy1,Lrp8,Mpzl1,Lnpk,Fgf12,Ptpn11,Parp1
